entry_id,network,instance,dispatch_id,op,name,kind,hart,actual_start_ms,actual_end_ms,actual_duration_ms
67,yolov8_nano,0,67,,,gemmini_q31,0,393.549000,395.261000,1.712000
68,yolov8_nano,0,68,,,gemmini_q31,0,395.261000,396.033000,0.772000
69,yolov8_nano,0,69,,,gemmini_q31,0,396.034000,396.432000,0.398000
70,yolov8_nano,0,70,,,gemmini_q31,0,396.432000,397.726000,1.294000
71,yolov8_nano,0,71,,,gemmini_q31,0,397.726000,401.119000,3.393000
72,yolov8_nano,0,72,,,gemmini_q31,0,401.119000,401.607000,0.488000
73,yolov8_nano,0,73,,,gemmini_q31,0,401.608000,403.302000,1.694000
74,yolov8_nano,0,74,,,gemmini_q31,0,403.303000,403.782000,0.479000
75,yolov8_nano,0,75,,,gemmini_q31,0,403.783000,405.474000,1.691000
76,yolov8_nano,0,76,,,gemmini_q31,0,405.474000,405.685000,0.211000
77,yolov8_nano,0,77,,,gemmini_q31,0,405.685000,406.485000,0.800000
78,yolov8_nano,0,78,,,gemmini_q31,0,406.485000,409.788000,3.303000
79,yolov8_nano,0,79,,,gemmini_q31,0,409.788000,410.977000,1.189000
80,yolov8_nano,0,80,,,gemmini_q31,0,410.977000,411.814000,0.837000
81,yolov8_nano,0,81,,,gemmini_q31,0,411.814000,413.665000,1.851000
82,yolov8_nano,0,82,,,gemmini_q31,0,413.666000,420.500000,6.834000
83,yolov8_nano,0,83,,,gemmini_q31,0,420.500000,421.580000,1.080000
84,yolov8_nano,0,84,,,gemmini_q31,0,421.580000,424.959000,3.379000
85,yolov8_nano,0,85,,,gemmini_q31,0,424.959000,426.017000,1.058000
86,yolov8_nano,0,86,,,gemmini_q31,0,426.017000,429.413000,3.396000
87,yolov8_nano,0,87,,,gemmini_q31,0,429.413000,429.831000,0.418000
88,yolov8_nano,0,88,,,gemmini_q31,0,429.831000,431.274000,1.443000
89,yolov8_nano,0,89,,,gemmini_q31,0,431.274000,438.035000,6.761000
90,yolov8_nano,0,90,,,gemmini_q31,0,438.035000,438.668000,0.633000
91,yolov8_nano,0,91,,,gemmini_q31,0,438.668000,440.365000,1.697000
92,yolov8_nano,0,92,,,gemmini_q31,0,440.366000,440.579000,0.213000
93,yolov8_nano,0,93,,,gemmini_q31,0,440.579000,441.375000,0.796000
94,yolov8_nano,0,94,,,gemmini_q31,0,441.375000,444.703000,3.328000
95,yolov8_nano,0,95,,,gemmini_q31,0,444.704000,445.192000,0.488000
96,yolov8_nano,0,96,,,gemmini_q31,0,445.192000,446.865000,1.673000
97,yolov8_nano,0,97,,,gemmini_q31,0,446.866000,447.344000,0.478000
98,yolov8_nano,0,98,,,gemmini_q31,0,447.345000,449.059000,1.714000
99,yolov8_nano,0,99,,,gemmini_q31,0,449.059000,449.269000,0.210000
100,yolov8_nano,0,100,,,gemmini_q31,0,449.269000,450.073000,0.804000
101,yolov8_nano,0,101,,,gemmini_q31,0,450.073000,453.421000,3.348000
102,yolov8_nano,0,102,,,gemmini_q31,0,453.421000,453.749000,0.328000
103,yolov8_nano,0,103,,,gemmini_q31,0,453.749000,454.592000,0.843000
104,yolov8_nano,0,104,,,gemmini_q31,0,454.592000,454.699000,0.107000
105,yolov8_nano,0,105,,,gemmini_q31,0,454.699000,455.064000,0.365000
106,yolov8_nano,0,106,,,gemmini_q31,0,455.065000,456.771000,1.706000
107,yolov8_nano,0,107,,,gemmini_q31,0,456.771000,457.020000,0.249000
108,yolov8_nano,0,108,,,gemmini_q31,0,457.020000,457.888000,0.868000
109,yolov8_nano,0,109,,,gemmini_q31,0,457.888000,458.131000,0.243000
110,yolov8_nano,0,110,,,gemmini_q31,0,458.131000,459.002000,0.871000
111,yolov8_nano,0,111,,,gemmini_q31,0,459.002000,459.107000,0.105000
112,yolov8_nano,0,112,,,gemmini_q31,0,459.107000,459.477000,0.370000
