tick,ep,t,x,y,z,roll,pitch,yaw,u0,u1,u2,u3,goal,gates
1,0,0.0050,-8.1272,5.8077,2.5095,-0.0008,-0.0007,1.7279,-0.3443,-0.5692,-0.4902,-0.5830,0,0
2,0,0.0100,-8.1262,5.8086,2.5088,-0.0025,-0.0021,1.7296,-0.3412,-0.5696,-0.4939,-0.5830,0,0
3,0,0.0150,-8.1252,5.8094,2.5079,-0.0045,-0.0037,1.7313,-0.5440,-0.5710,-0.5830,-0.5830,0,0
4,0,0.0200,-8.1242,5.8102,2.5068,-0.0065,-0.0051,1.7329,-0.5830,-0.5494,-0.5830,-0.5673,0,0
5,0,0.0250,-8.1232,5.8110,2.5054,-0.0087,-0.0065,1.7343,-0.5830,-0.5468,-0.5830,-0.5607,0,0
6,0,0.0300,-8.1222,5.8119,2.5038,-0.0108,-0.0078,1.7356,-0.5830,-0.5530,-0.5830,-0.5620,0,0
7,0,0.0350,-8.1213,5.8127,2.5019,-0.0130,-0.0091,1.7368,-0.5830,-0.5600,-0.5830,-0.5650,0,0
8,0,0.0400,-8.1203,5.8135,2.4998,-0.0153,-0.0104,1.7379,-0.5830,-0.5657,-0.5830,-0.5682,0,0
9,0,0.0450,-8.1193,5.8143,2.4975,-0.0175,-0.0117,1.7390,-0.5830,-0.5701,-0.5830,-0.5710,0,0
10,0,0.0500,-8.1183,5.8152,2.4949,-0.0197,-0.0130,1.7400,-0.5830,-0.5734,-0.5830,-0.5732,0,0
11,0,0.0550,-8.1173,5.8160,2.4920,-0.0219,-0.0143,1.7410,-0.5830,-0.5760,-0.5830,-0.5750,0,0
12,0,0.0600,-8.1163,5.8168,2.4890,-0.0241,-0.0156,1.7419,-0.5830,-0.5779,-0.5830,-0.5764,0,0
13,0,0.0650,-8.1153,5.8176,2.4856,-0.0263,-0.0169,1.7429,-0.5830,-0.5793,-0.5830,-0.5774,0,0
14,0,0.0700,-8.1143,5.8185,2.4821,-0.0285,-0.0182,1.7438,-0.5830,-0.5804,-0.5797,-0.5782,0,0
15,0,0.0750,-8.1133,5.8193,2.4783,-0.0306,-0.0195,1.7447,-0.5830,-0.5813,-0.5752,-0.5789,0,0
16,0,0.0800,-8.1123,5.8201,2.4742,-0.0326,-0.0207,1.7457,-0.5830,-0.5803,-0.5698,-0.5775,0,0
17,0,0.0850,-8.1113,5.8209,2.4699,-0.0345,-0.0218,1.7464,-0.5830,-0.5227,-0.5513,-0.5194,0,0
18,0,0.0900,-8.1103,5.8218,2.4655,-0.0360,-0.0227,1.7464,-0.5715,-0.4296,-0.5238,-0.4265,0,0
19,0,0.0950,-8.1093,5.8226,2.4608,-0.0374,-0.0234,1.7462,-0.4575,-0.3827,-0.4157,-0.3801,0,0
20,0,0.1000,-8.1083,5.8234,2.4561,-0.0386,-0.0239,1.7470,-0.2360,-0.4120,-0.2066,-0.4106,0,0
21,0,0.1050,-8.1073,5.8242,2.4513,-0.0397,-0.0243,1.7493,-0.1196,-0.4030,-0.1010,-0.4018,0,0
22,0,0.1100,-8.1064,5.8250,2.4464,-0.0407,-0.0246,1.7506,-0.3798,-0.2020,-0.3683,-0.1974,0,0
23,0,0.1150,-8.1054,5.8258,2.4414,-0.0415,-0.0253,1.7475,-0.5830,0.2917,-0.5830,0.3030,0,0
24,0,0.1200,-8.1044,5.8266,2.4365,-0.0422,-0.0260,1.7417,-0.4950,0.0208,-0.4866,0.0270,0,0
25,0,0.1250,-8.1035,5.8274,2.4315,-0.0430,-0.0265,1.7410,0.4170,-0.5830,0.4170,-0.5830,0,0
26,0,0.1300,-8.1026,5.8282,2.4265,-0.0440,-0.0267,1.7455,0.4170,-0.5830,0.4170,-0.5830,0,0
27,0,0.1350,-8.1016,5.8289,2.4216,-0.0449,-0.0268,1.7520,0.1105,-0.2642,0.1298,-0.2655,0,0
28,0,0.1400,-8.1007,5.8297,2.4166,-0.0457,-0.0271,1.7533,-0.5830,0.4170,-0.5830,0.4170,0,0
29,0,0.1450,-8.0998,5.8304,2.4117,-0.0463,-0.0277,1.7495,-0.5830,0.4170,-0.5830,0.4170,0,0
30,0,0.1500,-8.0989,5.8312,2.4067,-0.0467,-0.0283,1.7428,-0.4286,0.1373,-0.4065,0.1437,0,0
31,0,0.1550,-8.0980,5.8319,2.4018,-0.0473,-0.0286,1.7412,0.4170,-0.5830,0.4170,-0.5830,0,0
32,0,0.1600,-8.0971,5.8326,2.3969,-0.0480,-0.0288,1.7448,0.4170,-0.5830,0.4170,-0.5830,0,0
33,0,0.1650,-8.0963,5.8333,2.3920,-0.0487,-0.0286,1.7521,0.4075,-0.3046,0.4170,-0.3056,0,0
34,0,0.1700,-8.0954,5.8340,2.3872,-0.0494,-0.0288,1.7542,-0.5830,0.4170,-0.5830,0.4170,0,0
35,0,0.1750,-8.0946,5.8347,2.3824,-0.0498,-0.0292,1.7512,-0.5830,0.4170,-0.5830,0.4170,0,0
36,0,0.1800,-8.0937,5.8354,2.3776,-0.0500,-0.0298,1.7431,-0.5830,0.3989,-0.5687,0.4117,0,0
37,0,0.1850,-8.0929,5.8361,2.3728,-0.0503,-0.0302,1.7402,0.4170,-0.5830,0.4170,-0.5830,0,0
38,0,0.1900,-8.0921,5.8367,2.3680,-0.0508,-0.0303,1.7424,0.4170,-0.5830,0.4170,-0.5830,0,0
39,0,0.1950,-8.0913,5.8374,2.3632,-0.0514,-0.0301,1.7498,0.4170,-0.5830,0.4170,-0.5830,0,0
40,0,0.2000,-8.0905,5.8380,2.3585,-0.0518,-0.0302,1.7521,-0.5830,0.4122,-0.5710,0.4170,0,0
41,0,0.2050,-8.0898,5.8386,2.3537,-0.0520,-0.0306,1.7492,-0.5830,0.4170,-0.5830,0.4170,0,0
42,0,0.2100,-8.0890,5.8393,2.3490,-0.0521,-0.0312,1.7412,-0.5830,0.4170,-0.5829,0.4170,0,0
43,0,0.2150,-8.0883,5.8399,2.3442,-0.0523,-0.0315,1.7383,0.4170,-0.5830,0.4170,-0.5830,0,0
44,0,0.2200,-8.0875,5.8405,2.3395,-0.0527,-0.0316,1.7406,0.4170,-0.5830,0.4170,-0.5830,0,0
45,0,0.2250,-8.0868,5.8411,2.3348,-0.0532,-0.0314,1.7480,0.4170,-0.5830,0.4170,-0.5830,0,0
46,0,0.2300,-8.0861,5.8416,2.3301,-0.0535,-0.0314,1.7503,-0.5830,0.4131,-0.5707,0.4170,0,0
47,0,0.2350,-8.0854,5.8422,2.3254,-0.0537,-0.0318,1.7475,-0.5830,0.4170,-0.5830,0.4170,0,0
48,0,0.2400,-8.0847,5.8428,2.3208,-0.0536,-0.0323,1.7395,-0.5830,0.4170,-0.5813,0.4170,0,0
49,0,0.2450,-8.0840,5.8433,2.3161,-0.0537,-0.0326,1.7367,0.4170,-0.5830,0.4170,-0.5830,0,0
50,0,0.2500,-8.0834,5.8439,2.3115,-0.0540,-0.0327,1.7390,0.4170,-0.5830,0.4170,-0.5830,0,0
51,0,0.2550,-8.0827,5.8444,2.3068,-0.0545,-0.0324,1.7465,0.4170,-0.5830,0.4170,-0.5830,0,0
52,0,0.2600,-8.0821,5.8449,2.3022,-0.0547,-0.0324,1.7488,-0.5830,0.4139,-0.5705,0.4170,0,0
53,0,0.2650,-8.0814,5.8454,2.2976,-0.0547,-0.0326,1.7460,-0.5830,0.4170,-0.5830,0.4170,0,0
54,0,0.2700,-8.0808,5.8459,2.2930,-0.0546,-0.0331,1.7381,-0.5830,0.4170,-0.5806,0.4170,0,0
55,0,0.2750,-8.0802,5.8464,2.2884,-0.0546,-0.0334,1.7353,0.4170,-0.5830,0.4170,-0.5830,0,0
56,0,0.2800,-8.0796,5.8468,2.2838,-0.0548,-0.0333,1.7377,0.4170,-0.5830,0.4170,-0.5830,0,0
57,0,0.2850,-8.0791,5.8473,2.2793,-0.0552,-0.0330,1.7452,0.4170,-0.5830,0.4170,-0.5830,0,0
58,0,0.2900,-8.0785,5.8478,2.2747,-0.0553,-0.0329,1.7476,-0.5830,0.4150,-0.5700,0.4170,0,0
59,0,0.2950,-8.0779,5.8482,2.2702,-0.0552,-0.0331,1.7448,-0.5830,0.4170,-0.5830,0.4170,0,0
60,0,0.3000,-8.0774,5.8486,2.2656,-0.0550,-0.0335,1.7369,-0.5830,0.4170,-0.5807,0.4170,0,0
61,0,0.3050,-8.0769,5.8490,2.2611,-0.0549,-0.0337,1.7342,0.4170,-0.5830,0.4170,-0.5830,0,0
62,0,0.3100,-8.0764,5.8495,2.2566,-0.0550,-0.0336,1.7366,0.4170,-0.5830,0.4170,-0.5830,0,0
63,0,0.3150,-8.0759,5.8499,2.2521,-0.0553,-0.0332,1.7440,0.4170,-0.5635,0.4170,-0.5680,0,0
64,0,0.3200,-8.0754,5.8502,2.2476,-0.0554,-0.0330,1.7464,-0.5830,0.4159,-0.5703,0.4170,0,0
65,0,0.3250,-8.0749,5.8506,2.2432,-0.0553,-0.0331,1.7436,-0.5830,0.4170,-0.5830,0.4170,0,0
66,0,0.3300,-8.0744,5.8510,2.2387,-0.0549,-0.0333,1.7357,-0.5830,0.4160,-0.5666,0.4170,0,0
67,0,0.3350,-8.0740,5.8513,2.2343,-0.0547,-0.0333,1.7329,0.4170,-0.5758,0.4170,-0.5779,0,0
68,0,0.3400,-8.0735,5.8517,2.2298,-0.0547,-0.0331,1.7352,0.4170,-0.5830,0.4170,-0.5830,0,0
69,0,0.3450,-8.0731,5.8520,2.2254,-0.0548,-0.0325,1.7425,0.4170,-0.5405,0.4170,-0.5414,0,0
70,0,0.3500,-8.0727,5.8523,2.2210,-0.0546,-0.0321,1.7447,-0.5830,0.4134,-0.5601,0.4170,0,0
71,0,0.3550,-8.0723,5.8526,2.2166,-0.0543,-0.0320,1.7417,-0.5830,0.4170,-0.5830,0.4170,0,0
72,0,0.3600,-8.0719,5.8529,2.2123,-0.0535,-0.0320,1.7338,-0.5830,0.4093,-0.5393,0.4170,0,0
73,0,0.3650,-8.0715,5.8532,2.2079,-0.0529,-0.0316,1.7310,0.4170,-0.5830,0.4170,-0.5830,0,0
74,0,0.3700,-8.0712,5.8535,2.2036,-0.0524,-0.0311,1.7333,0.4170,-0.5830,0.4170,-0.5830,0,0
75,0,0.3750,-8.0708,5.8538,2.1993,-0.0521,-0.0302,1.7404,0.4170,-0.5069,0.4170,-0.5094,0,0
76,0,0.3800,-8.0705,5.8540,2.1950,-0.0516,-0.0296,1.7423,-0.5830,0.4126,-0.5716,0.4170,0,0
77,0,0.3850,-8.0702,5.8543,2.1907,-0.0509,-0.0292,1.7392,-0.5830,0.4170,-0.5830,0.4170,0,0
78,0,0.3900,-8.0699,5.8545,2.1864,-0.0499,-0.0290,1.7314,-0.5004,0.4088,-0.4693,0.4170,0,0
79,0,0.3950,-8.0696,5.8547,2.1822,-0.0490,-0.0285,1.7287,0.4170,-0.5830,0.4170,-0.5830,0,0
80,0,0.4000,-8.0693,5.8549,2.1779,-0.0483,-0.0277,1.7312,0.4170,-0.5830,0.4170,-0.5830,0,0
81,0,0.4050,-8.0690,5.8551,2.1738,-0.0477,-0.0267,1.7379,0.4170,-0.3899,0.4170,-0.3932,0,0
82,0,0.4100,-8.0687,5.8553,2.1696,-0.0470,-0.0260,1.7394,-0.5830,0.4170,-0.5830,0.4170,0,0
83,0,0.4150,-8.0685,5.8555,2.1654,-0.0461,-0.0255,1.7357,-0.5830,0.4170,-0.5830,0.4170,0,0
84,0,0.4200,-8.0682,5.8557,2.1614,-0.0450,-0.0252,1.7284,-0.3227,0.4100,-0.3083,0.4170,0,0
85,0,0.4250,-8.0680,5.8559,2.1573,-0.0441,-0.0246,1.7261,0.4170,-0.5830,0.4170,-0.5830,0,0
86,0,0.4300,-8.0678,5.8560,2.1533,-0.0433,-0.0237,1.7290,0.4170,-0.5830,0.4170,-0.5830,0,0
87,0,0.4350,-8.0676,5.8562,2.1493,-0.0425,-0.0228,1.7350,0.4170,-0.1859,0.4170,-0.1870,0,0
88,0,0.4400,-8.0674,5.8563,2.1454,-0.0417,-0.0220,1.7359,-0.5830,0.4170,-0.5830,0.4170,0,0
89,0,0.4450,-8.0672,5.8565,2.1415,-0.0407,-0.0215,1.7316,-0.5830,0.4170,-0.5830,0.4170,0,0
90,0,0.4500,-8.0670,5.8566,2.1377,-0.0397,-0.0211,1.7248,-0.0855,0.4117,-0.0832,0.4170,0,0
