arm,family,pair,workload,ops,periodic_ops,combos,solver,objective,all_ops,misses,wall_s,cpsat_status,cpsat_gap,prec_viol,overlap_viol,inf_dur_assign,error
wl_sweep,bimodal,gempair,networks_bimodal_gempair,379,224,3,cheap_portfolio,3608.080955,3608.080955,0,0.351,,,0,0,0,
wl_sweep,bimodal,gempair,networks_bimodal_gempair,379,224,3,cpsat,3607.958745,3607.958745,0,13.892,OPTIMAL,0.0,0,0,0,
wl_sweep,bimodal,gempair,networks_bimodal_gempair,379,224,3,cpsat:warm,3607.958764,3607.958764,0,53.965,OPTIMAL,0.0,0,0,0,
wl_sweep,bimodal,gempair,networks_bimodal_gempair,379,224,3,cpsat:warmbest,3607.958764,3607.958764,0,11.816,OPTIMAL,0.0,0,0,0,
wl_sweep,bimodal,gempair,networks_bimodal_gempair,379,224,3,decomposed,3627.606659,3627.606659,0,0.048,,,0,0,0,
wl_sweep,bimodal,gempair,networks_bimodal_gempair,379,224,3,greedy,3627.606659,3627.606659,0,0.038,,,0,0,0,
wl_sweep,bimodal,gempair,networks_bimodal_gempair,379,224,3,greedy_periodic,3627.606659,3627.606659,0,0.039,,,0,0,0,
wl_sweep,bimodal,gempair,networks_bimodal_gempair,379,224,3,greedy_reserved,3628.557046,3628.557046,0,0.045,,,0,0,0,
wl_sweep,bimodal,gempair,networks_bimodal_gempair,379,224,3,heft,3608.080955,3608.080955,0,0.049,,,0,0,0,
wl_sweep,bimodal,gempair,networks_bimodal_gempair,379,224,3,heft_edf,3608.080955,3608.080955,0,0.132,,,0,0,0,
wl_sweep,bimodal,gempair,networks_bimodal_gempair,379,224,3,pso,3608.080955,3608.080955,0,7.75,,,0,0,0,
wl_sweep,bimodal,gempair,networks_bimodal_gempair,379,224,3,sa,3608.022246,3608.022246,0,20.005,,,0,0,0,
wl_sweep,bimodal,hetero,networks_bimodal_hetero,379,224,2,cheap_portfolio,245.304178,245.304178,0,0.202,,,0,0,0,
wl_sweep,bimodal,hetero,networks_bimodal_hetero,379,224,2,cpsat,234.518855,234.518855,0,12.736,OPTIMAL,0.0,0,0,0,
wl_sweep,bimodal,hetero,networks_bimodal_hetero,379,224,2,cpsat:warm,234.473855,234.473855,0,18.067,OPTIMAL,0.0,0,0,0,
wl_sweep,bimodal,hetero,networks_bimodal_hetero,379,224,2,cpsat:warmbest,234.473855,234.473855,0,8.803,OPTIMAL,0.0,0,0,0,
wl_sweep,bimodal,hetero,networks_bimodal_hetero,379,224,2,decomposed,263.719985,263.719985,0,0.033,,,0,0,0,
wl_sweep,bimodal,hetero,networks_bimodal_hetero,379,224,2,greedy,263.719985,263.719985,0,0.032,,,0,0,0,
wl_sweep,bimodal,hetero,networks_bimodal_hetero,379,224,2,greedy_periodic,263.719985,263.719985,0,0.033,,,0,0,0,
wl_sweep,bimodal,hetero,networks_bimodal_hetero,379,224,2,greedy_reserved,263.720633,263.720633,0,0.036,,,0,0,0,
wl_sweep,bimodal,hetero,networks_bimodal_hetero,379,224,2,heft,245.304178,245.304178,0,0.016,,,0,0,0,
