count,mean,netvar,bb
2, 3.5, 3, 0x8001a934-0x8001a936
2, 6, 0, 0x800234aa-0x800234b8
1, 35, 0, 0x8000021a-0x8000e6fa
253, 2.1067193675889326, 27, 0x8000fcaa-0x8000fcac
2, 37.5, 45, 0x8000df80-0x8000df88
18, 24.72222222222222, 391, 0x80014442-0x80014444
4, 35.5, 118, 0x800204d6-0x800204e0
33, 4.7272727272727275, 57, 0x8001bb8a-0x8001bb8c
1, 67, 0, 0x8000d27c-0x8000d28a
1, 76, 0, 0x80010180-0x800101b0
6, 6.5, 15, 0x80026edc-0x80026ee0
56, 9.142857142857142, 232, 0x80026bb6-0x80026bc2
12, 26.833333333333332, 238, 0x80027fb8-0x80027fc4
11, 25.727272727272727, 217, 0x80026b0e-0x80026b1a
6, 4, 0, 0x80012f72-0x80012f72
2, 5, 0, 0x8001c334-0x8001c338
36, 22.47222222222222, 593, 0x8001e752-0x8001e760
6, 4.5, 3, 0x800225c2-0x800225ca
92, 23.684782608695652, 431, 0x800155b6-0x800155dc
2, 1, 0, 0x80019ed0-0x80019ed0
2, 9, 0, 0x8000e01e-0x8000e02e
1, 7, 0, 0x80019958-0x8001995c
1, 43, 0, 0x8000e230-0x8000e242
1, 99, 0, 0x8001ed18-0x8001ed42
2, 39, 40, 0x8001adac-0x8001adac
2, 6.5, 3, 0x8001a294-0x8001a29c
33, 2.3636363636363638, 45, 0x8001a104-0x8001a104
1, 3, 0, 0x8001bbd4-0x8001bbd6
4608, 1.0060763888888888, 28, 0x8000c6d2-0x8000c6d2
1, 69, 0, 0x80028f9c-0x80028fb2
10, 45.7, 177, 0x8000bf26-0x8000bf6c
111, 9.063063063063064, 118, 0x80000248-0x80000252
197, 3.314720812182741, 456, 0x80016712-0x80016712
2, 9, 0, 0x8001aed0-0x8001aedc
4, 3.75, 3, 0x80021ce8-0x80021cf0
2, 42.5, 43, 0x8001c32c-0x8001c332
42, 3, 0, 0x8000c8a0-0x8000c8a2
2, 2, 0, 0x8001a91e-0x8001a920
2, 147.5, 55, 0x8001fc92-0x8001fcd0
2, 5, 0, 0x80025cb4-0x80025cb8
2, 28, 6, 0x8001101e-0x80011034
33, 13.090909090909092, 201, 0x8001c87e-0x8001c88e
32, 92.28125, 2217, 0x80026b32-0x80026b84
14526, 17.20218917802561, 31989, 0x8000c4c4-0x8000c4f2
196, 7.755102040816326, 736, 0x80016552-0x8001655a
207, 4.971014492753623, 615, 0x800173e2-0x800173e4
24, 3.8333333333333335, 20, 0x80014448-0x8001444e
2, 125, 80, 0x8001c5a6-0x8001c626
86, 8.313953488372093, 199, 0x80029808-0x8002980c
1650, 20.87090909090909, 4737, 0x800162e2-0x800162f2
64, 7.9375, 252, 0x80014d7a-0x80014d84
92, 14.66304347826087, 521, 0x80015712-0x8001571e
33, 5.484848484848484, 49, 0x8001cbea-0x8001cbf0
6, 9, 6, 0x800225e8-0x800225f6
4, 5, 0, 0x8001cc58-0x8001cc5c
4, 9, 16, 0x8001eb06-0x8001eb12
2, 28, 10, 0x8001eb28-0x8001eb34
2, 20, 26, 0x8001ecac-0x8001ecb8
2, 82.5, 9, 0x8001f520-0x8001f534
2, 41, 40, 0x80025fbc-0x80025fc6
2, 3, 0, 0x80020138-0x8002013c
864, 18.077546296296298, 67, 0x8000d114-0x8000d142
84, 11.107142857142858, 9, 0x8000c2dc-0x8000c2e8
2, 6, 0, 0x80024cde-0x80024ce4
2592, 2.076388888888889, 198, 0x8000d154-0x8000d158
109, 4.229357798165138, 25, 0x800163a0-0x800163aa
4, 5, 0, 0x80027fae-0x80027fb0
2, 46, 40, 0x8001d272-0x8001d284
3, 5, 3, 0x8001ecdc-0x8001ece4
4, 5, 0, 0x80010996-0x8001099c
2, 2, 0, 0x80026dda-0x80026ddc
33, 5.787878787878788, 26, 0x80019ebc-0x80019ec4
