dispatch_id,name,op,shape,cycles
156,transpose_25,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
157,linear_34,linear_s8_pc,M=690;K=384;N=384,1535715828
158,transpose_26,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
159,linear_35,linear_s8_pc,M=690;K=384;N=384,1535715858
160,transpose_27,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
161,matmul_10,matmul_b_s8,B=6;M=690;K=64;N=690,2736370198
162,add_26,add_tile_s8,OUTER=6;INNER=476100,68307620
163,softmax_5,softmax_s8,M=4140;K=690,645778270
164,matmul_11,matmul_b_s8,B=6;M=690;K=690;N=64,2210271683
165,transpose_29,permute4_s8,d0=1;d1=6;d2=690;d3=64;p0=0;p1=2;p2=1;p3=3,2960944
166,linear_36,linear_s8_pc,M=690;K=384;N=384,1535715823
167,add_27,add_s8,n=264960,11303236
168,layer_norm_19,layer_norm_s8,M=690;K=384,20095122
169,linear_37,linear_s8_pc,M=690;K=384;N=1536,6142840553
170,gelu_5,gelu_s8,n=1059840,174055949
171,linear_38,linear_s8_pc,M=690;K=1536;N=384,6114224746
172,add_28,add_s8,n=264960,11292974
173,layer_norm_20,layer_norm_s8,M=690;K=384,20098005
174,linear_39,linear_s8_pc,M=690;K=384;N=384,1535715840
175,transpose_30,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
176,linear_40,linear_s8_pc,M=690;K=384;N=384,1535715819
177,transpose_31,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
178,linear_41,linear_s8_pc,M=690;K=384;N=384,1535715847
179,transpose_32,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
180,matmul_12,matmul_b_s8,B=6;M=690;K=64;N=690,2736330353
181,add_29,add_tile_s8,OUTER=6;INNER=476100,68317841
182,softmax_6,softmax_s8,M=4140;K=690,646275285
183,matmul_13,matmul_b_s8,B=6;M=690;K=690;N=64,2210287910
184,transpose_34,permute4_s8,d0=1;d1=6;d2=690;d3=64;p0=0;p1=2;p2=1;p3=3,2960944
185,linear_42,linear_s8_pc,M=690;K=384;N=384,1535715821
186,add_30,add_s8,n=264960,11296263
187,layer_norm_21,layer_norm_s8,M=690;K=384,20101154
188,linear_43,linear_s8_pc,M=690;K=384;N=1536,6142840447
189,gelu_6,gelu_s8,n=1059840,168227575
190,linear_44,linear_s8_pc,M=690;K=1536;N=384,6114224638
191,add_31,add_s8,n=264960,11261050
192,layer_norm_22,layer_norm_s8,M=690;K=384,20097267
193,linear_45,linear_s8_pc,M=690;K=384;N=384,1535715844
194,transpose_35,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
195,linear_46,linear_s8_pc,M=690;K=384;N=384,1535715823
196,transpose_36,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
197,linear_47,linear_s8_pc,M=690;K=384;N=384,1535715835
198,transpose_37,permute4_s8,d0=1;d1=690;d2=6;d3=64;p0=0;p1=2;p2=1;p3=3,2956156
199,matmul_14,matmul_b_s8,B=6;M=690;K=64;N=690,2736410984
200,add_32,add_tile_s8,OUTER=6;INNER=476100,68352129
201,softmax_7,softmax_s8,M=4140;K=690,645706362
202,matmul_15,matmul_b_s8,B=6;M=690;K=690;N=64,2210276126
203,transpose_39,permute4_s8,d0=1;d1=6;d2=690;d3=64;p0=0;p1=2;p2=1;p3=3,2960944
204,linear_48,linear_s8_pc,M=690;K=384;N=384,1535715817
