dispatch_id,name,op,shape,cycles
88,sigmoid,sigmoid_f16,n=1024,82342
89,mul_9,mul_f16,n=1024,11278
90,linear_13,linear_f16,M=1;K=1024;N=256,2626085
91,add_16,add_f16,n=256,2830
92,layer_norm_12,layer_norm_f16,M=1;K=256,8490
93,linear_14,linear_f16,M=1;K=256;N=1024,2639909
94,sigmoid_1,sigmoid_f16,n=1024,86891
95,mul_10,mul_f16,n=1024,11278
96,linear_15,linear_f16,M=1;K=1024;N=256,2626085
97,add_17,add_f16,n=256,2830
98,layer_norm_13,layer_norm_f16,M=1;K=256,8490
99,linear_16,linear_f16,M=1;K=256;N=1024,2639909
100,sigmoid_2,sigmoid_f16,n=1024,94158
101,mul_11,mul_f16,n=1024,11278
102,linear_17,linear_f16,M=1;K=1024;N=256,2626085
103,add_18,add_f16,n=256,2830
104,sigmoid_3,sigmoid_f16,n=256,24198
105,mul_12,mul_f16,n=256,2830
106,linear_18,linear_f16,M=1;K=256;N=28,72220
