dispatch_id,name,op,shape,cycles
0,linear,linear_f16,M=16;K=768;N=384,1126443
1,add,add_f16,n=6144,1262
2,cat,cat2_c1_f16,N=1;H=256;W=256;C_total=6;C_inputs=3|3,70703
3,conv2d,conv2d_f16,N=1;IC=6;IH=256;IW=256;OC=32;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,15193024
4,layer_norm,layer_norm_f16,M=32;K=16384,1049396
5,mul,mul_c1_f16,N=1;C=32;HW=16384,98617
6,add_1,add_c1_f16,N=1;C=32;HW=16384,262490
7,relu,relu_f16,n=524288,90124
8,conv2d_1,conv2d_f16,N=1;IC=32;IH=128;IW=128;OC=96;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,48753413
9,layer_norm_1,layer_norm_f16,M=32;K=12288,787252
10,mul_1,mul_c1_f16,N=1;C=96;HW=4096,74617
11,add_2,add_c1_f16,N=1;C=96;HW=4096,197594
12,relu_1,relu_f16,n=393216,67596
13,conv2d_2,conv2d_f16,N=1;IC=96;IH=64;IW=64;OC=192;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,70356306
14,layer_norm_2,layer_norm_f16,M=32;K=6144,394037
15,mul_2,mul_c1_f16,N=1;C=192;HW=1024,38617
16,add_3,add_c1_f16,N=1;C=192;HW=1024,100250
17,relu_2,relu_f16,n=196608,33804
18,conv2d_3,conv2d_f16,N=1;IC=192;IH=32;IW=32;OC=384;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,69575790
19,layer_norm_3,layer_norm_f16,M=32;K=3072,197429
20,mul_3,mul_c1_f16,N=1;C=384;HW=256,21913
21,add_4,add_c1_f16,N=1;C=384;HW=256,53018
22,relu_3,relu_f16,n=98304,16908
23,conv2d_4,conv2d_f16,N=1;IC=384;IH=16;IW=16;OC=512;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0;DH=1;DW=1;groups=1,20704838
24,permute,permute4_f16,d0=1;d1=512;d2=16;d3=16;p0=0;p1=2;p2=3;p3=1,34049
25,linear_1,linear_f16,M=256;K=512;N=384,12316465
26,slice_1,slice_c_f16,N=1;IC=10;C_start=0;C_end=1;H=256;W=384,18474
27,add_5,add_f16,n=98304,19981
28,cat_1,cat2_c1_f16,N=1;H=128;W=128;C_total=6;C_inputs=3|3,17713
29,conv2d_5,conv2d_f16,N=1;IC=6;IH=128;IW=128;OC=32;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,3796512
30,layer_norm_4,layer_norm_f16,M=32;K=4096,262964
31,mul_4,mul_c1_f16,N=1;C=32;HW=4096,24889
32,add_6,add_c1_f16,N=1;C=32;HW=4096,65882
33,relu_4,relu_f16,n=131072,22540
34,conv2d_6,conv2d_f16,N=1;IC=32;IH=64;IW=64;OC=96;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,12181205
35,layer_norm_5,layer_norm_f16,M=32;K=3072,197429
36,mul_5,mul_c1_f16,N=1;C=96;HW=1024,19321
37,add_7,add_c1_f16,N=1;C=96;HW=1024,50138
38,relu_5,relu_f16,n=98304,16908
39,conv2d_7,conv2d_f16,N=1;IC=96;IH=32;IW=32;OC=192;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=1,17570178
40,layer_norm_6,layer_norm_f16,M=32;K=1536,99124
41,mul_6,mul_c1_f16,N=1;C=192;HW=256,10969
42,add_8,add_c1_f16,N=1;C=192;HW=256,26522
43,relu_6,relu_f16,n=49152,8460
