dispatch_id,name,op,shape,cycles
124,l15.m0.cv2.conv,conv2d_s8,N=1;IC=32;IH=20;IW=20;OC=32;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1619216
125,l15.m0.cv2.bn,batchnorm2d_s8,N=1;C=32;H=20;W=20,16802
126,l15.m0.cv2.act,silu_s8,n=12800,231215
127,cat_8,cat3_c1_s8,N=1;H=20;W=20;C_inputs=32|32|32;C_total=96,63195
128,l15.cv2.conv,conv2d_s8,N=1;IC=96;IH=20;IW=20;OC=64;OH=20;OW=20;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1600634
129,l15.cv2.bn,batchnorm2d_s8,N=1;C=64;H=20;W=20,33273
130,l15.cv2.act,silu_s8,n=25600,392677
131,l16.conv,conv2d_s8,N=1;IC=64;IH=20;IW=20;OC=64;OH=10;OW=10;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,1734329
132,l16.bn,batchnorm2d_s8,N=1;C=64;H=10;W=10,9595
133,l16.act,silu_s8,n=6400,150800
134,cat_9,cat2_c1_s8,N=1;H=10;W=10;C_inputs=64|128;C_total=192,31557
135,l18.cv1.conv,conv2d_s8,N=1;IC=192;IH=10;IW=10;OC=128;OH=10;OW=10;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1811657
136,l18.cv1.bn,batchnorm2d_s8,N=1;C=128;H=10;W=10,19099
137,l18.cv1.act,silu_s8,n=12800,231515
139,l18.m0.cv1.conv,conv2d_s8,N=1;IC=64;IH=10;IW=10;OC=64;OH=10;OW=10;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1863564
140,l18.m0.cv1.bn,batchnorm2d_s8,N=1;C=64;H=10;W=10,9747
141,l18.m0.cv1.act,silu_s8,n=6400,150840
142,l18.m0.cv2.conv,conv2d_s8,N=1;IC=64;IH=10;IW=10;OC=64;OH=10;OW=10;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1863965
143,l18.m0.cv2.bn,batchnorm2d_s8,N=1;C=64;H=10;W=10,9578
144,l18.m0.cv2.act,silu_s8,n=6400,151055
145,cat_10,cat3_c1_s8,N=1;H=10;W=10;C_inputs=64|64|64;C_total=192,32438
146,l18.cv2.conv,conv2d_s8,N=1;IC=192;IH=10;IW=10;OC=128;OH=10;OW=10;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1812157
147,l18.cv2.bn,batchnorm2d_s8,N=1;C=128;H=10;W=10,19095
148,l18.cv2.act,silu_s8,n=12800,231932
149,l19.conv,conv2d_s8,N=1;IC=128;IH=10;IW=10;OC=128;OH=5;OW=5;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,2462808
150,l19.bn,batchnorm2d_s8,N=1;C=128;H=5;W=5,7303
151,l19.act,silu_s8,n=3200,111053
152,cat_11,cat2_c1_s8,N=1;H=5;W=5;C_inputs=128|256;C_total=384,20723
153,l21.cv1.conv,conv2d_s8,N=1;IC=384;IH=5;IW=5;OC=256;OH=5;OW=5;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,2069285
154,l21.cv1.bn,batchnorm2d_s8,N=1;C=256;H=5;W=5,14305
155,l21.cv1.act,silu_s8,n=6400,151181
157,l21.m0.cv1.conv,conv2d_s8,N=1;IC=128;IH=5;IW=5;OC=128;OH=5;OW=5;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,2345184
158,l21.m0.cv1.bn,batchnorm2d_s8,N=1;C=128;H=5;W=5,7238
159,l21.m0.cv1.act,silu_s8,n=3200,111101
160,l21.m0.cv2.conv,conv2d_s8,N=1;IC=128;IH=5;IW=5;OC=128;OH=5;OW=5;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,2344610
161,l21.m0.cv2.bn,batchnorm2d_s8,N=1;C=128;H=5;W=5,7297
162,l21.m0.cv2.act,silu_s8,n=3200,111174
163,cat_12,cat3_c1_s8,N=1;H=5;W=5;C_inputs=128|128|128;C_total=384,20118
164,l21.cv2.conv,conv2d_s8,N=1;IC=384;IH=5;IW=5;OC=256;OH=5;OW=5;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,2062873
165,l21.cv2.bn,batchnorm2d_s8,N=1;C=256;H=5;W=5,14070
166,l21.cv2.act,silu_s8,n=6400,151330
167,detect.cv2_0_0.conv,conv2d_s8,N=1;IC=64;IH=20;IW=20;OC=64;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,6325494
168,detect.cv2_0_0.bn,batchnorm2d_s8,N=1;C=64;H=20;W=20,33516
169,detect.cv2_0_0.act,silu_s8,n=25600,392827
170,detect.cv2_0_1.conv,conv2d_s8,N=1;IC=64;IH=20;IW=20;OC=64;OH=20;OW=20;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,6320963
171,detect.cv2_0_1.bn,batchnorm2d_s8,N=1;C=64;H=20;W=20,33479
172,detect.cv2_0_1.act,silu_s8,n=25600,392641
173,detect.cv2_0_2,conv2d_s8,N=1;IC=64;IH=20;IW=20;OC=64;OH=20;OW=20;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1121456
