count,mean,netvar,bb
1, 9, 0, 0x800053a2-0x800053b6
6, 15, 72, 0x8000a226-0x8000a22a
14, 16.714285714285715, 52, 0x80006342-0x8000635c
1, 5, 0, 0x80005daa-0x80005db2
15, 5, 0, 0x8000760e-0x8000761a
4, 235.5, 270, 0x8000513c-0x800051a4
3, 3, 0, 0x80005896-0x80005898
1, 8, 0, 0x80004cde-0x80004cee
1, 3, 0, 0x800039ae-0x800039b4
1, 2, 0, 0x80005d92-0x80005d96
2, 9, 0, 0x80004bce-0x80004be0
1, 3, 0, 0x80004c10-0x80004c16
4, 210.5, 154, 0x80003758-0x80003790
1, 61, 0, 0x800048d4-0x800048d4
29, 4.103448275862069, 3, 0x80004720-0x8000472a
14, 12.071428571428571, 57, 0x80003d70-0x80003d78
14, 31, 0, 0x80004760-0x80004796
1, 5, 0, 0x80004c08-0x80004c0c
14, 3.2857142857142856, 4, 0x8000668e-0x80006694
1, 229, 0, 0x80000238-0x800033a8
14, 11.428571428571429, 62, 0x80000072-0x80000084
14, 4.642857142857143, 23, 0x8000020c-0x80000212
15, 53.46666666666667, 82, 0x800047e2-0x80004832
14, 1, 0, 0x80003d7c-0x80003d7c
1, 7, 0, 0x80003186-0x80003194
1, 5, 0, 0x80003750-0x80003754
14, 6, 0, 0x8000791a-0x8000792e
14, 11.214285714285714, 115, 0x80007978-0x8000797e
1, 136, 0, 0x8000606c-0x80006090
1, 1, 0, 0x80005d70-0x80005d70
1, 6, 0, 0x80005d60-0x80005d6c
15, 6.4, 6, 0x80003b8c-0x80003b92
1, 124, 0, 0x8000373c-0x80003744
1, 5, 0, 0x80005438-0x8000543a
1, 5, 0, 0x800040da-0x800040e4
2, 2, 0, 0x8000a22e-0x8000a232
15, 27.8, 57, 0x800075c0-0x800075f0
4, 21.25, 57, 0x80003908-0x80003910
2, 5, 0, 0x800002a6-0x800002a8
15, 30.4, 6, 0x80004764-0x80004796
1, 5, 0, 0x80005fce-0x80005fd0
14, 5.214285714285714, 3, 0x8000011c-0x80000124
1, 7, 0, 0x80003914-0x8000391c
1, 6, 0, 0x8000a2c2-0x8000a2ca
14, 15.285714285714286, 60, 0x80007a06-0x80007a28
13921, 19.566051289418862, 216695, 0x8000a23e-0x8000a244
1, 7, 0, 0x80004620-0x80004626
1, 160, 0, 0x800045be-0x8000461c
1, 7, 0, 0x800039b8-0x800039be
1, 8, 0, 0x80003c16-0x80003c1a
1, 23, 0, 0x800071f8-0x800071fe
1, 7, 0, 0x80004204-0x8000420a
14, 29.142857142857142, 114, 0x800073e6-0x8000740c
2, 1, 0, 0x80004878-0x80004878
14, 8, 0, 0x80005726-0x80005730
14, 9, 0, 0x8000664a-0x8000665a
1, 4, 0, 0x800044a0-0x800044a6
14, 2, 0, 0x80006376-0x8000637a
1, 84, 0, 0x800002f8-0x8000031e
1, 61, 0, 0x80003dc4-0x80003dc4
4, 23.5, 74, 0x80007c24-0x80007c26
4, 38, 16, 0x80003e90-0x80003ea4
3, 4, 6, 0x80005892-0x80005892
15, 1.2, 3, 0x80007670-0x80007670
3, 30, 54, 0x80004bb4-0x80004bca
14, 11, 0, 0x8000005c-0x8000006e
1, 11, 0, 0x80004c5c-0x80004c76
1, 33, 0, 0x8000a2b2-0x8000a2be
14, 12.642857142857142, 93, 0x8000018a-0x80000196
14, 12.428571428571429, 62, 0x800078f8-0x80007902
14, 4, 0, 0x8000755e-0x80007566
1, 183, 0, 0x8000326e-0x800032c0
1, 4, 0, 0x8000439c-0x8000439c
1, 164, 0, 0x80006786-0x800067c6
6, 78.66666666666667, 58, 0x8000a278-0x8000a298
15, 4, 0, 0x800074a2-0x800074aa
15, 4, 0, 0x8000775a-0x80007760
4, 21.75, 83, 0x80007cda-0x80007cda
1, 8, 0, 0x800049d0-0x800049e6
1000, 12.163, 163, 0x80006efc-0x80006f04
1, 1, 0, 0x8000a2ce-0x8000a2ce
15, 17.333333333333332, 80, 0x80007654-0x8000765e
15, 4, 0, 0x80007666-0x8000766e
14, 14.285714285714286, 60, 0x80000106-0x80000118
1, 8, 0, 0x80004bee-0x80004bfa
1, 6, 0, 0x80006064-0x8000606a
14, 3, 0, 0x80005734-0x8000573c
1, 62, 0, 0x80004a74-0x80004a78
14, 1.2142857142857142, 3, 0x80003ae6-0x80003ae6
2, 74, 0, 0x8000497a-0x80004980
1, 2, 0, 0x80005678-0x8000567c
14, 13.071428571428571, 57, 0x80003ad2-0x80003ada
1, 29, 0, 0x800033ac-0x800033bc
1, 65, 0, 0x8000587e-0x80005892
1, 7, 0, 0x800041e6-0x800041ec
1, 70, 0, 0x80005f4e-0x80005f62
1, 62, 0, 0x80005f76-0x80005f80
1, 10, 0, 0x80004c84-0x80004c8c
1, 9, 0, 0x80007238-0x80007248
1, 1, 0, 0x80005d26-0x80005d26
6, 6, 0, 0x800002b4-0x800002bc
15, 7.2, 3, 0x80007684-0x80007696
1, 5, 0, 0x800049c8-0x800049cc
1, 6, 0, 0x80005f84-0x80005f8a
14, 11, 0, 0x8000019a-0x800001b4
14, 4, 0, 0x80007580-0x80007584
1, 75, 0, 0x800002c2-0x800002d4
14, 5, 0, 0x80006366-0x80006372
14, 9.071428571428571, 57, 0x80006560-0x80006566
