count,mean,netvar,bb
1, 23, 0, 0x80006872-0x80006876
1, 37, 0, 0x800073b2-0x800073d6
125, 62.024, 2628, 0x800029f6-0x80002a56
1, 120, 0, 0x80000374-0x800003bc
5184, 4.736496913580247, 3818, 0x80002f36-0x80002f42
28902, 1.0974673033008095, 2817, 0x80002054-0x80002054
2, 18, 14, 0x80000072-0x80000084
1, 5, 0, 0x80007290-0x80007294
1, 33, 0, 0x800075a0-0x800075b8
1000, 643.158, 22158, 0x80001e46-0x80001ef6
3, 1, 0, 0x8000299c-0x8000299c
1, 133, 0, 0x8000138e-0x8000140c
1, 68, 0, 0x80007538-0x8000754e
2282, 3.4132340052585453, 3225, 0x800021fc-0x800021fe
864, 15.217592592592593, 188, 0x80002e9e-0x80002ebe
16735, 4.003406035255453, 57, 0x800020ce-0x800020d4
1, 9, 0, 0x80006652-0x80006662
1, 3, 0, 0x80009a2a-0x80009a32
1, 4, 0, 0x80006f82-0x80006f82
1, 11, 0, 0x8000019a-0x800001b4
17, 67.70588235294117, 369, 0x80001ca8-0x80001d0c
192, 4.34375, 450, 0x8000277e-0x80002780
1, 79, 0, 0x80002fa4-0x80002fd0
5120, 16.524609375, 7806, 0x8000267a-0x8000269e
4480, 2, 0, 0x80002792-0x80002794
162, 34.17283950617284, 190, 0x80001d10-0x80001d64
7680, 1.7350260416666667, 5645, 0x8000264e-0x8000264e
3, 6.333333333333333, 4, 0x80002a6a-0x80002a72
4608, 7.013237847222222, 61, 0x800023b8-0x800023c8
1000, 25.399, 399, 0x80001e12-0x80001e3c
1, 217, 0, 0x8000164e-0x800016ca
1, 5, 0, 0x800074c4-0x800074ca
3, 6, 0, 0x800029e2-0x800029e8
31, 4.193548387096774, 6, 0x80002d94-0x80002d9a
1, 219, 0, 0x80000e7e-0x80000ee6
1, 116, 0, 0x80001720-0x8000179e
1, 213, 0, 0x80001058-0x800010c4
1, 227, 0, 0x80002c82-0x80002d06
14, 11.357142857142858, 33, 0x80001fae-0x80001fbc
1, 26, 0, 0x80006f24-0x80006f2e
1, 4, 0, 0x80004720-0x8000472a
1, 75, 0, 0x80003c0a-0x80003c12
32, 10, 0, 0x80002f4e-0x80002f5a
2, 7, 0, 0x80003d8a-0x80003d92
1, 77, 0, 0x800000f4-0x80000102
1, 8, 0, 0x8000701e-0x8000702a
1, 9, 0, 0x80006386-0x80006394
1, 162, 0, 0x800012a4-0x80001320
1, 196, 0, 0x80000b1e-0x80000b6a
1, 58, 0, 0x80000238-0x800033a8
3, 185, 48, 0x800029f0-0x80002a56
10, 14.8, 38, 0x80001b52-0x80001b56
1, 24, 0, 0x80000208-0x80000212
2, 34.5, 57, 0x80004834-0x8000483c
1, 164, 0, 0x8000140e-0x80001476
3, 7, 0, 0x80002952-0x8000295a
176, 116.05113636363636, 3001, 0x800028f6-0x8000294c
17, 2, 0, 0x80001c5e-0x80001c5e
1, 37, 0, 0x80006fa8-0x80006fc4
3000, 12.028333333333334, 85, 0x80006f6a-0x80006f72
1, 214, 0, 0x800014fa-0x80001562
1, 4, 0, 0x80003026-0x8000302e
974, 37.41067761806981, 400, 0x80001d68-0x80001db6
3, 25.333333333333332, 22, 0x80003804-0x8000380a
2592, 1, 0, 0x80002e2c-0x80002e2c
1, 63, 0, 0x80009c7a-0x80009c8a
2, 8, 0, 0x8000340e-0x80003418
14449, 1.002214686137449, 32, 0x8000205e-0x8000205e
145, 2.1655172413793102, 24, 0x80002626-0x80002628
2, 95, 0, 0x80003df0-0x80003e1c
11584, 1.0497237569060773, 576, 0x80002798-0x80002798
1, 39, 0, 0x800075c8-0x800075f8
1, 1, 0, 0x800073e0-0x800073e0
1, 5, 0, 0x800072f2-0x800072fc
42, 14, 0, 0x800027f4-0x8000280a
3, 3, 3, 0x800028e8-0x800028ec
1, 1, 0, 0x80002f9e-0x80002f9e
10, 42.2, 142, 0x80001c08-0x80001c4e
2, 28.5, 15, 0x80000216-0x80000234
4608, 22.2421875, 1116, 0x800023ce-0x800023f8
1, 3, 0, 0x80001a4a-0x80001a4c
1, 99, 0, 0x80000d8e-0x80000dfa
1, 1, 0, 0x80009c76-0x80009c76
3, 11.666666666666666, 17, 0x8000513e-0x80005142
35679, 23.825415510524397, 29450, 0x80002196-0x800021d4
1, 63, 0, 0x8000483e-0x80004868
1, 57, 0, 0x800003d6-0x80000408
2, 14.5, 15, 0x80003b78-0x80003b7e
84, 34.107142857142854, 93, 0x80002426-0x8000245c
1792, 13.0390625, 3654, 0x800027dc-0x800027f0
4480, 3.3761160714285716, 6165, 0x800023a2-0x800023a4
84, 7, 0, 0x80001fce-0x80001fd8
1, 30, 0, 0x8000705e-0x8000706e
14449, 25.082151013910998, 30085, 0x80002078-0x800020c6
1, 6, 0, 0x80000088-0x80000094
7680, 3.0010416666666666, 8, 0x80002652-0x8000265a
1, 64, 0, 0x800047e2-0x80004832
1, 11, 0, 0x800074d2-0x800074ec
3, 6, 0, 0x8000295c-0x80002964
1000, 8.089, 4089, 0x80001dba-0x80001dc4
1, 120, 0, 0x80000c3e-0x80000cbc
3, 3, 0, 0x8000298c-0x80002990
84, 11.333333333333334, 28, 0x80001fbe-0x80001fca
1, 3, 0, 0x80000098-0x800000a0
1, 10, 0, 0x80002f5e-0x80002f6c
84, 2, 0, 0x80002460-0x80002462
1, 55, 0, 0x8000034c-0x80000366
1, 33, 0, 0x80004764-0x80004796
3, 5, 6, 0x80002a74-0x80002a7c
1, 5, 0, 0x80007456-0x8000745e
1, 5, 0, 0x800066a0-0x800066a8
1, 163, 0, 0x80000238-0x800018c4
2, 14, 0, 0x8000005c-0x8000006e
1, 154, 0, 0x800017a0-0x800017f0
1, 0, 0, 0x800002f6-0x800002f6
1, 35, 0, 0x80003c16-0x80003c1a
1, 15, 0, 0x80002d6a-0x80002d8a
43359, 1.0000691897875873, 3, 0x8000215c-0x8000215c
1, 2, 0, 0x80003af8-0x80003afc
1, 157, 0, 0x80000bee-0x80000c3a
1, 5, 0, 0x8000744e-0x80007454
2, 14, 0, 0x80002c5c-0x80002c76
1, 267, 0, 0x80009b26-0x80009b9e
1, 45, 0, 0x800075ba-0x800075c4
1000, 2.06, 60, 0x80001e40-0x80001e42
17, 17.058823529411764, 103, 0x8000285a-0x80002872
2, 29.5, 17, 0x80003dc6-0x80003dec
4, 3.75, 3, 0x80003a4a-0x80003a50
12272, 18.011000651890484, 24679, 0x800020d8-0x800020f2
11584, 3.0002589779005526, 3, 0x8000279c-0x800027a4
42, 20, 0, 0x80002596-0x800025b6
1, 26, 0, 0x80003ad2-0x80003ada
1, 4, 0, 0x800074cc-0x800074d0
14449, 7, 0, 0x80002062-0x80002072
1, 54, 0, 0x80007464-0x8000748c
10, 8.8, 58, 0x80001bfe-0x80001c04
1, 170, 0, 0x80000d0e-0x80000d8c
1, 1, 0, 0x80009a36-0x80009a36
6016, 9.038563829787234, 232, 0x800026a2-0x800026b2
28, 20.714285714285715, 20, 0x8000254a-0x8000256a
1, 68, 0, 0x80009c60-0x80009c72
1, 4, 0, 0x80007432-0x8000743c
6, 3.3333333333333335, 8, 0x80001b62-0x80001b66
1, 41, 0, 0x80003b26-0x80003b52
1, 6, 0, 0x800073e2-0x800073e6
1, 72, 0, 0x80001a0a-0x80001a26
1, 6, 0, 0x80005d68-0x80005d74
448, 3.4799107142857144, 663, 0x800026c4-0x800026c6
1, 69, 0, 0x80002f7a-0x80002f9a
1, 159, 0, 0x80001948-0x80001988
1, 110, 0, 0x80000dfe-0x80000e7c
43359, 10.015244816531746, 661, 0x8000217c-0x8000218e
1, 23, 0, 0x80005f12-0x80005f20
3, 53, 114, 0x80002966-0x80002980
1, 4, 0, 0x80002d0c-0x80002d0c
1, 61, 0, 0x80006fc8-0x80006fe8
2282, 2.090709903593339, 207, 0x8000211e-0x80002122
7, 6, 0, 0x80001c46-0x80001c4e
14453, 3.093890541756037, 1357, 0x8000211c-0x80002122
1, 61, 0, 0x80009b1e-0x80009b22
1, 164, 0, 0x80001566-0x800015e2
864, 12.034722222222221, 30, 0x80002e88-0x80002e9a
1, 69, 0, 0x80009a08-0x80009a1e
4608, 1.001953125, 9, 0x800023b4-0x800023b4
1, 71, 0, 0x80001a2a-0x80001a44
1, 1, 0, 0x80007298-0x80007298
4, 36.5, 26, 0x80003da2-0x80003db2
1, 109, 0, 0x800037ee-0x8000380a
70, 16.428571428571427, 30, 0x800024c6-0x800024e6
70, 23.5, 105, 0x80001f4c-0x80001f7e
16, 22.625, 74, 0x8000722e-0x8000723e
1, 68, 0, 0x80002d8c-0x80002d9a
1, 40, 0, 0x8000752a-0x80007534
2, 26, 34, 0x80005124-0x80005130
1, 39, 0, 0x800076a2-0x800076c4
1, 5, 0, 0x80002f76-0x80002f76
134, 9.305970149253731, 175, 0x80002612-0x80002622
9152, 17.071569055944057, 655, 0x800027a8-0x800027ca
1, 25, 0, 0x80007014-0x8000701c
3, 5, 0, 0x80003810-0x80003812
1, 122, 0, 0x80000eea-0x80000f68
1, 253, 0, 0x80000322-0x80000348
2, 61.5, 111, 0x80002c3e-0x80002c48
3, 32, 0, 0x800028c8-0x800028d4
1, 19, 0, 0x80005680-0x80005684
1, 28, 0, 0x8000709c-0x800070b4
1, 224, 0, 0x80001322-0x8000138a
2592, 2.025462962962963, 66, 0x80002f08-0x80002f0c
1, 7, 0, 0x80003b1a-0x80003b22
3, 3, 0, 0x800028e0-0x800028e4
1, 136, 0, 0x80007722-0x8000774a
3, 4, 0, 0x80002950-0x80002950
9, 23.77777777777778, 142, 0x80002876-0x8000287e
3, 27.666666666666668, 20, 0x80006f76-0x80006f80
1, 8, 0, 0x80000268-0x80000272
1, 149, 0, 0x800018c8-0x80001946
3, 9.333333333333334, 4, 0x800029d4-0x800029e0
2, 19, 12, 0x80003db4-0x80003dc4
1, 19, 0, 0x80002fd4-0x80002ff8
1, 3, 0, 0x80003c30-0x80003c34
28, 27.464285714285715, 69, 0x80002502-0x80002546
1, 82, 0, 0x80002d1e-0x80002d52
2, 15, 0, 0x80002ade-0x80002afc
1, 129, 0, 0x80005284-0x800052a4
16735, 6.71616372871228, 28720, 0x800021f0-0x800021fa
1, 1, 0, 0x80005d2e-0x80005d2e
145, 3.2551724137931033, 37, 0x80001d08-0x80001d0c
1, 24, 0, 0x800074b4-0x800074c0
1, 4, 0, 0x800038be-0x800038be
6846, 6.258983347940403, 8619, 0x800021e6-0x800021ee
3052, 16.08453473132372, 258, 0x80002380-0x800023a4
1, 68, 0, 0x800046e0-0x80004708
11272, 15.26277501774308, 2962, 0x8000202a-0x8000204a
2, 8, 0, 0x80003d08-0x80003d10
1, 40, 0, 0x800001b8-0x800001cc
2, 43, 52, 0x80002c0c-0x80002c1c
1, 5, 0, 0x80003a54-0x80003a5c
1, 25, 0, 0x8000767a-0x80007688
2592, 4.042438271604938, 110, 0x80002e7c-0x80002e84
1, 6, 0, 0x8000771c-0x80007720
7424, 26.068292025862068, 507, 0x800023ca-0x800023f8
1, 153, 0, 0x800008c4-0x8000091c
2592, 1.0030864197530864, 8, 0x80002e2e-0x80002e2e
1, 31, 0, 0x80005c1a-0x80005c24
2688, 3.3582589285714284, 3651, 0x80002774-0x80002776
3, 32.333333333333336, 76, 0x80003e38-0x80003e40
1, 7, 0, 0x80002d10-0x80002d1a
3, 2, 0, 0x800028d8-0x800028dc
10, 17.7, 7, 0x80001bd8-0x80001bfa
92, 4.434782608695652, 132, 0x800024fc-0x800024fe
7, 5.428571428571429, 3, 0x80001c62-0x80001c6e
1, 78, 0, 0x800047a6-0x800047ca
1, 2, 0, 0x80007050-0x80007054
1, 42, 0, 0x80006678-0x80006686
1, 1, 0, 0x80005d78-0x80005d78
1, 24, 0, 0x80007424-0x8000742e
3, 23, 51, 0x80003a3a-0x80003a46
42, 166.92857142857142, 81, 0x800025c0-0x800025ec
1, 49, 0, 0x80005d32-0x80005d44
1, 135, 0, 0x80000a76-0x80000a9a
1, 140, 0, 0x8000080c-0x80000840
2, 6, 0, 0x80003404-0x8000340c
1, 1, 0, 0x80002f70-0x80002f70
1, 7, 0, 0x80006696-0x8000669c
16735, 8.005138930385419, 86, 0x80002126-0x80002138
