run,arm,backend,op,axis,OC,OH,IC,KH,SH,k,partition,tile_us,sum_tiles_us,t_unsplit_us,drift,n_monitors,work_ratio_raw,work_ratio,model,pred,row_dup,overhead_us,gather_B,scatter_B,halo_B,ns_per_byte,err_vs_pred
L3,P,gemmini_q31,conv_modules.4,OC,64,7,32,3,2,2,"[48, 16]",78.2;61.4,139.6,86.0,1.0019,4,1.6226,1.6195,slab,1.0,1.0,53.41,0,0,0,,0.6195
L3,P,gemmini_q31,conv_modules.5,OC,64,7,64,3,1,2,"[32, 32]",47.6;47.0,94.6,66.6,1.0019,4,1.4221,1.4194,slab,1.0,1.0,27.97,0,0,0,,0.4194
L3,P,gemmini_q31,conv_modules.6,OC,64,7,32,1,2,2,"[16, 48]",60.5;69.9,130.4,78.4,1.0019,4,1.6627,1.6595,slab,1.0,1.0,51.83,0,0,0,,0.6595
L3,P,gemmini_q31,conv_modules.7,OC,128,4,64,3,2,2,"[96, 32]",60.7;38.8,99.5,69.2,1.0019,4,1.4393,1.4365,slab,1.0,1.0,30.25,0,0,0,,0.4365
L3,P,gemmini_q31,conv_modules.8,OC,128,4,128,3,1,2,"[64, 64]",50.6;51.1,101.7,91.7,1.0019,4,1.1096,1.1075,slab,1.0,1.0,9.87,0,0,0,,0.1075
L3,P,gemmini_q31,conv_modules.9,OC,128,4,64,1,2,2,"[16, 112]",32.8;44.1,76.9,49.2,1.0019,4,1.5622,1.5592,slab,1.0,1.0,27.57,0,0,0,,0.5592
S0,E,rvv,conv_modules.0,OC,32,56,3,3,2,2,"[16, 16]",1289.5;1261.9,2551.4,1514.1,1.0002,6,1.6851,1.6849,slab,2.0,1.0,1037.1,0,0,0,,-0.3151
S0,E,rvv,conv_modules.1,OC,32,14,32,3,2,2,"[8, 24]",821.7;837.3,1659.0,840.5,1.0002,6,1.9739,1.9736,slab,2.0,1.0,818.37,0,0,0,,-0.0264
S0,E,rvv,conv_modules.2,OC,32,14,32,3,1,2,"[24, 8]",829.5;813.5,1643.0,834.2,1.0002,6,1.9696,1.9692,slab,2.0,1.0,808.68,0,0,0,,-0.0308
S0,E,rvv,conv_modules.3,OC,32,14,32,1,2,2,"[16, 16]",162.8;160.8,323.6,177.3,1.0002,6,1.8256,1.8253,slab,2.0,1.0,146.34,0,0,0,,-0.1747
S0,P,gemmini_q31,conv_modules.0,OC,32,56,3,3,2,2,"[16, 16]",763.7;717.8,1481.5,1148.1,1.0206,6,1.2904,1.2643,slab,1.0,1.0,309.69,0,0,0,,0.2643
S0,P,gemmini_q31,conv_modules.1,OC,32,14,32,3,2,2,"[8, 24]",219.2;234.8,453.9,258.2,1.0206,6,1.7582,1.7227,slab,1.5,1.0,190.42,0,0,0,,0.2227
S0,P,gemmini_q31,conv_modules.2,OC,32,14,32,3,1,2,"[24, 8]",94.3;70.1,164.4,105.5,1.0206,6,1.5586,1.5271,slab,1.5,1.0,56.73,0,0,0,,0.0271
S0,P,gemmini_q31,conv_modules.3,OC,32,14,32,1,2,2,"[16, 16]",217.7;216.3,434.1,241.3,1.0206,6,1.7987,1.7624,slab,1.0,1.0,187.77,0,0,0,,0.7624
ocA,E,rvv,conv_modules.0,OC,32,56,3,3,2,2,"[16, 16]",1288.7;1261.5,2550.1,1514.1,1.0002,6,1.6843,1.6839,slab,2.0,1.0,1035.69,0,0,0,,-0.3161
ocA,E,rvv,conv_modules.1,OC,32,14,32,3,2,2,"[16, 16]",828.7;829.9,1658.7,840.5,1.0002,6,1.9735,1.973,slab,2.0,1.0,817.97,0,0,0,,-0.027
ocA,E,rvv,conv_modules.2,OC,32,14,32,3,1,2,"[16, 16]",822.8;820.8,1643.6,834.2,1.0002,6,1.9703,1.9698,slab,2.0,1.0,809.19,0,0,0,,-0.0302
ocA,E,rvv,conv_modules.3,OC,32,14,32,1,2,2,"[16, 16]",162.8;160.6,323.4,177.3,1.0002,6,1.8241,1.8237,slab,2.0,1.0,146.06,0,0,0,,-0.1763
ocA,P,gemmini_q31,conv_modules.0,OC,32,56,3,3,2,2,"[16, 16]",763.1;716.4,1479.5,1148.1,1.0218,6,1.2886,1.2612,slab,1.0,1.0,306.38,0,0,0,,0.2612
ocA,P,gemmini_q31,conv_modules.1,OC,32,14,32,3,2,2,"[16, 16]",230.2;221.4,451.6,258.2,1.0218,6,1.7493,1.712,slab,1.0,1.0,187.83,0,0,0,,0.712
ocA,P,gemmini_q31,conv_modules.2,OC,32,14,32,3,1,2,"[16, 16]",80.2;79.5,159.8,105.5,1.0218,6,1.5148,1.4825,slab,1.0,1.0,52.0,0,0,0,,0.4825
ocA,P,gemmini_q31,conv_modules.3,OC,32,14,32,1,2,2,"[16, 16]",218.7;216.0,434.6,241.3,1.0218,6,1.8012,1.7628,slab,1.0,1.0,188.08,0,0,0,,0.7628
ohA,E,rvv,conv_modules.0,OH,32,56,3,3,2,2,"[28, 28]",926.1;933.0,1859.2,1514.1,1.0023,6,1.2279,1.2251,halo,1.0,1.0088,341.54,38988,100352,342,2.451,0.2251
ohA,E,rvv,conv_modules.1,OH,32,14,32,3,2,2,"[7, 7]",441.6;437.1,878.7,840.5,1.0023,6,1.0455,1.043,halo,1.0,1.0345,36.26,27840,6272,928,1.063,0.043
ohA,E,rvv,conv_modules.2,OH,32,14,32,3,1,2,"[7, 7]",376.5;377.6,754.1,834.2,1.0023,6,0.904,0.9019,halo,1.0,1.125,-82.06,9216,6272,1024,-5.298,-0.0981
ohA,E,rvv,conv_modules.3,OH,32,14,32,1,2,2,"[7, 7]",199.6;197.4,396.9,177.3,1.0023,6,2.2391,2.2338,halo,1.0,0.963,219.25,22464,6272,-864,7.63,1.2338
ohA,P,gemmini_q31,conv_modules.0,OH,32,56,3,3,2,2,"[28, 28]",856.8;852.4,1709.2,1148.1,1.1162,6,1.4887,1.3337,halo,1.0,1.0088,427.68,38988,100352,342,3.069,0.3337
ohA,P,gemmini_q31,conv_modules.1,OH,32,14,32,3,2,2,"[7, 7]",292.2;284.8,577.1,258.2,1.1162,6,2.2351,2.0025,halo,1.0,1.0345,288.88,27840,6272,928,8.469,1.0025
ohA,P,gemmini_q31,conv_modules.2,OH,32,14,32,3,1,2,"[7, 7]",136.6;133.1,269.7,105.5,1.1162,6,2.5572,2.2911,halo,1.0,1.125,151.98,9216,6272,1024,9.813,1.2911
ohA,P,gemmini_q31,conv_modules.3,OH,32,14,32,1,2,2,"[7, 7]",245.6;242.2,487.8,241.3,1.1162,6,2.0216,1.8111,halo,1.0,0.963,218.48,22464,6272,-864,7.603,0.8111
ohB,E,rvv,conv_modules.4,OH,64,7,32,3,2,2,"[4, 3]",297.9;223.8,521.7,580.7,1.0026,4,0.8985,0.8961,halo,1.0,1.0667,-60.47,8192,3136,512,-5.339,-0.1039
ohB,E,rvv,conv_modules.5,OH,64,7,64,3,1,2,"[4, 3]",528.0;394.8,922.8,1105.6,1.0026,4,0.8347,0.8325,halo,1.0,1.2222,-185.65,6336,3136,1152,-19.6,-0.1675
ohB,E,rvv,conv_modules.6,OH,64,7,32,1,2,2,"[4, 3]",105.7;77.2,182.9,112.1,1.0026,4,1.631,1.6267,halo,1.0,0.9231,70.46,5376,3136,-448,8.278,0.6267
ohB,E,rvv,conv_modules.7,OH,128,4,64,3,2,2,"[2, 2]",221.7;212.7,434.3,653.1,1.0026,4,0.665,0.6633,halo,1.0,1.1111,-220.48,5760,2048,576,-28.238,-0.3367
ohB,E,rvv,conv_modules.8,OH,128,4,128,3,1,2,"[2, 2]",408.7;393.9,802.7,1289.5,1.0026,4,0.6224,0.6208,halo,1.0,1.3333,-490.27,6144,2048,1536,-59.847,-0.3792
ohB,E,rvv,conv_modules.9,OH,128,4,64,1,2,2,"[2, 2]",70.3;67.0,137.3,91.2,1.0026,4,1.5062,1.5022,halo,1.0,0.8571,45.9,2688,2048,-448,9.692,0.5022
ohB,P,gemmini_q31,conv_modules.4,OH,64,7,32,3,2,2,"[4, 3]",109.5;84.1,193.6,86.0,1.0033,4,2.2497,2.2423,halo,1.0,1.0667,107.24,8192,3136,512,9.467,1.2423
ohB,P,gemmini_q31,conv_modules.5,OH,64,7,64,3,1,2,"[4, 3]",98.8;76.9,175.7,66.6,1.0033,4,2.6406,2.6318,halo,1.0,1.2222,108.96,6336,3136,1152,11.503,1.6318
ohB,P,gemmini_q31,conv_modules.6,OH,64,7,32,1,2,2,"[4, 3]",84.0;60.2,144.2,78.4,1.0033,4,1.839,1.833,halo,1.0,0.9231,65.55,5376,3136,-448,7.701,0.833
ohB,P,gemmini_q31,conv_modules.7,OH,128,4,64,3,2,2,"[2, 2]",89.6;79.6,169.2,69.2,1.0033,4,2.447,2.4389,halo,1.0,1.1111,99.83,5760,2048,576,12.786,1.4389
ohB,P,gemmini_q31,conv_modules.8,OH,128,4,128,3,1,2,"[2, 2]",124.3;106.8,231.1,91.7,1.0033,4,2.5216,2.5133,halo,1.0,1.3333,139.15,6144,2048,1536,16.986,1.5133
ohB,P,gemmini_q31,conv_modules.9,OH,128,4,64,1,2,2,"[2, 2]",49.9;45.2,95.2,49.2,1.0033,4,1.934,1.9276,halo,1.0,0.8571,45.79,2688,2048,-448,9.668,0.9276
ohC,E,rvv,conv_modules.0,OH,32,56,3,3,2,4,"[14, 14, 14, 14]",467.4;471.0;470.5;474.0,1882.9,1514.1,1.0053,6,1.2436,1.237,halo,1.0,1.0265,360.7,39672,100352,1026,2.576,0.237
ohC,E,rvv,conv_modules.1,OH,32,14,32,3,2,4,"[4, 4, 3, 3]",253.6;254.0;195.4;191.1,894.1,840.5,1.0053,6,1.0639,1.0582,halo,1.0,1.1034,49.18,29696,6272,2784,1.367,0.0582
ohC,E,rvv,conv_modules.2,OH,32,14,32,3,1,4,"[4, 4, 3, 3]",218.1;218.5;169.1;165.3,770.9,834.2,1.0053,6,0.9241,0.9192,halo,1.0,1.375,-67.77,11264,6272,3072,-3.865,-0.0808
ohC,E,rvv,conv_modules.3,OH,32,14,32,1,2,4,"[4, 4, 3, 3]",105.8;105.1;83.0;82.4,376.4,177.3,1.0053,6,2.1235,2.1122,halo,1.0,0.8889,198.22,20736,6272,-2592,7.339,1.1122
ohC,P,gemmini_q31,conv_modules.0,OH,32,56,3,3,2,4,"[14, 14, 14, 14]",430.0;419.5;421.4;423.6,1694.5,1148.1,1.1105,6,1.4759,1.329,halo,1.0,1.0265,419.51,39672,100352,1026,2.996,0.329
ohC,P,gemmini_q31,conv_modules.1,OH,32,14,32,3,2,4,"[4, 4, 3, 3]",173.9;172.9;135.4;131.6,613.7,258.2,1.1105,6,2.377,2.1405,halo,1.0,1.1034,326.99,29696,6272,2784,9.091,1.1405
ohC,P,gemmini_q31,conv_modules.2,OH,32,14,32,3,1,4,"[4, 4, 3, 3]",85.2;86.1;72.7;69.0,313.1,105.5,1.1105,6,2.9691,2.6737,halo,1.0,1.375,196.02,11264,6272,3072,11.178,1.6737
ohC,P,gemmini_q31,conv_modules.3,OH,32,14,32,1,2,4,"[4, 4, 3, 3]",129.0;128.5;100.0;98.5,456.1,241.3,1.1105,6,1.89,1.7019,halo,1.0,0.8889,188.1,20736,6272,-2592,6.964,0.7019
