cell_id,family,pair,arm,solver,ok,solver_status,timed_out,returncode,makespan_pred_ms,num_operations,num_periodic_operations,total_busy_ms,wall_s,build_s,solve_s,mosek_time_s,mip_rel_gap,mip_best_obj,mip_best_bound,num_period_misses,worst_late_ms,util_CPU_P,util_CPU_E,busy_CPU_P_ms,busy_CPU_E_ms,n_CPU_P,n_CPU_E,hw_CPU_P,hw_CPU_E,failure_reason,error
shard__networks_depth_contended_quad__greedy_periodic,depth_contended,quad,shard,greedy_periodic,True,heuristic,,0,96.3575,430,149,122.01621000000016,6.490756273269653,,,,,,,0,0.0,0.27505739563604287,0.3580858988662013,53.00768600000001,69.00852399999998,2,2,gemmini_q31,V256D128_rvv,,
shard__networks_depth_contended_quad__decomposed,depth_contended,quad,shard,decomposed,True,heuristic,,0,69.49664400000003,430,149,123.38910200000011,3.0967509746551514,,,,,,,0,0.0,0.382801635716395,0.5049326122855656,53.206858,70.182244,2,2,gemmini_q31,V256D128_rvv,,
shard__networks_depth_contended_quad__milp,depth_contended,quad,shard,milp,False,,,,,,,,,,,,,,,,,,,,,0,0,,,not_attempted_budget,not_attempted_budget
shard__networks_depth_contended_rvvpair__greedy,depth_contended,rvvpair,shard,greedy,True,heuristic,,0,129.31404600000005,430,149,180.919048,4.753524303436279,,,,,,,0,0.0,,0.6995336299352972,,180.91904800000006,0,2,gemmini_q31,V256D128_rvv,,
shard__networks_depth_contended_rvvpair__greedy_periodic,depth_contended,rvvpair,shard,greedy_periodic,True,heuristic,,0,133.03778500000004,430,149,180.919048,4.6765265464782715,,,,,,,0,0.0,,0.6799536237017176,,180.9190480000001,0,2,gemmini_q31,V256D128_rvv,,
shard__networks_depth_contended_rvvpair__decomposed,depth_contended,rvvpair,shard,decomposed,True,heuristic,,0,92.250336,430,149,180.919048,2.808401346206665,,,,,,,0,0.0,,0.9805874744998222,,180.91904800000006,0,2,gemmini_q31,V256D128_rvv,,
shard__networks_depth_contended_rvvpair__milp,depth_contended,rvvpair,shard,milp,False,,,,,,,,,,,,,,,,,,,,,0,0,,,not_attempted_budget,not_attempted_budget
shard__networks_depth_nav_gempair__greedy,depth_nav,gempair,shard,greedy,True,heuristic,,0,590.1500289999999,410,410,487.0013960000005,3.0335607528686523,,,,,,,0,0.0,0.41260812680566733,,487.0013960000004,,2,0,gemmini_q31,V256D128_rvv,,
shard__networks_depth_nav_gempair__greedy_periodic,depth_nav,gempair,shard,greedy_periodic,True,heuristic,,0,590.1500289999999,410,410,487.0013960000005,3.071497678756714,,,,,,,0,0.0,0.41260812680566733,,487.0013960000004,,2,0,gemmini_q31,V256D128_rvv,,
shard__networks_depth_nav_gempair__decomposed,depth_nav,gempair,shard,decomposed,True,heuristic,,0,590.1583069999998,410,410,487.0013960000005,3.0678067207336426,,,,,,,0,0.0,0.412602339256745,,487.0013960000004,,2,0,gemmini_q31,V256D128_rvv,,
shard__networks_depth_nav_gempair__milp,depth_nav,gempair,shard,milp,False,,,,,,,,,,,,,,,,,,,,,0,0,,,not_attempted_budget,not_attempted_budget
shard__networks_depth_nav_hetero__greedy,depth_nav,hetero,shard,greedy,True,heuristic,,0,431.27555499999977,410,410,155.85803800000048,3.03212308883667,,,,,,,0,0.0,0.1009800845308749,0.2604084435066112,43.55024199999996,112.30779599999983,1,1,gemmini_q31,V256D128_rvv,,
shard__networks_depth_nav_hetero__greedy_periodic,depth_nav,hetero,shard,greedy_periodic,True,heuristic,,0,431.27555499999977,410,410,155.85803800000048,3.0012619495391846,,,,,,,0,0.0,0.1009800845308749,0.2604084435066112,43.55024199999996,112.30779599999983,1,1,gemmini_q31,V256D128_rvv,,
shard__networks_depth_nav_hetero__decomposed,depth_nav,hetero,shard,decomposed,True,heuristic,,0,430.9120559999997,410,410,166.95566200000042,2.785020112991333,,,,,,,0,0.0,0.12773437232398996,0.25971281017024944,55.04228099999998,111.91338099999982,1,1,gemmini_q31,V256D128_rvv,,
shard__networks_depth_nav_hetero__milp,depth_nav,hetero,shard,milp,False,,,,,,,,,,,,,,,,,,,,,0,0,,,not_attempted_budget,not_attempted_budget
shard__networks_depth_nav_quad__greedy,depth_nav,quad,shard,greedy,True,heuristic,,0,429.50886699999967,410,410,146.50896000000049,4.766395807266235,,,,,,,0,0.0,0.038952562532312066,0.1316014949698349,33.46094199999999,113.04801799999987,2,2,gemmini_q31,V256D128_rvv,,
shard__networks_depth_nav_quad__greedy_periodic,depth_nav,quad,shard,greedy_periodic,True,heuristic,,0,429.50886699999967,410,410,146.50896000000049,4.7069737911224365,,,,,,,0,0.0,0.038952562532312066,0.1316014949698349,33.46094199999999,113.04801799999987,2,2,gemmini_q31,V256D128_rvv,,
shard__networks_depth_nav_quad__decomposed,depth_nav,quad,shard,decomposed,True,heuristic,,0,429.46864399999964,410,410,146.5119080000005,3.793177604675293,,,,,,,0,0.0,0.03874527566208072,0.13182818767090243,33.27976199999999,113.23214599999987,2,2,gemmini_q31,V256D128_rvv,,
shard__networks_depth_nav_quad__milp,depth_nav,quad,shard,milp,False,,,,,,,,,,,,,,,,,,,,,0,0,,,not_attempted_budget,not_attempted_budget
shard__networks_depth_nav_rvvpair__greedy,depth_nav,rvvpair,shard,greedy,True,heuristic,,0,220.47534400000006,410,410,187.82720800000055,3.4888033866882324,,,,,,,0,0.0,,0.4259596664922323,,187.82720800000044,0,2,gemmini_q31,V256D128_rvv,,
shard__networks_depth_nav_rvvpair__greedy_periodic,depth_nav,rvvpair,shard,greedy_periodic,True,heuristic,,0,220.47534400000006,410,410,187.82720800000055,3.4629745483398438,,,,,,,0,0.0,,0.4259596664922323,,187.82720800000044,0,2,gemmini_q31,V256D128_rvv,,
shard__networks_depth_nav_rvvpair__decomposed,depth_nav,rvvpair,shard,decomposed,True,heuristic,,0,220.47534400000006,410,410,187.82720800000055,3.0492560863494873,,,,,,,0,0.0,,0.4259596664922309,,187.8272079999998,0,2,gemmini_q31,V256D128_rvv,,
shard__networks_depth_nav_rvvpair__milp,depth_nav,rvvpair,shard,milp,False,,,,,,,,,,,,,,,,,,,,,0,0,,,not_attempted_budget,not_attempted_budget
shard__networks_perception_heavy_gempair__greedy,perception_heavy,gempair,shard,greedy,True,heuristic,,0,132.729981,228,28,197.33964399999974,2.177452802658081,,,,,,,0,0.0,0.7433875998219269,,197.33964399999994,,2,0,gemmini_q31,V256D128_rvv,,
shard__networks_perception_heavy_gempair__greedy_periodic,perception_heavy,gempair,shard,greedy_periodic,True,heuristic,,0,132.729981,228,28,197.33964399999974,2.1900579929351807,,,,,,,0,0.0,0.7433875998219269,,197.33964399999994,,2,0,gemmini_q31,V256D128_rvv,,
shard__networks_perception_heavy_gempair__decomposed,perception_heavy,gempair,shard,decomposed,True,heuristic,,0,132.729981,228,28,197.33964399999974,1.7815699577331543,,,,,,,0,0.0,0.7433875998219269,,197.33964399999994,,2,0,gemmini_q31,V256D128_rvv,,
shard__networks_perception_heavy_gempair__milp,perception_heavy,gempair,shard,milp,False,,False,1,,,,,875.6037225723267,,,116.41,,,,,,,,,,0,0,,,out_of_memory_mosek_solve,run failed (rc=1) or no schedule json
shard__networks_perception_heavy_hetero__greedy,perception_heavy,hetero,shard,greedy,True,heuristic,,0,122.88301000000004,228,28,160.0332520000001,2.100128173828125,,,,,,,0,0.0,0.8150247865835967,0.48729725126362045,100.15269900000001,59.880553000000006,1,1,gemmini_q31,V256D128_rvv,,
shard__networks_perception_heavy_hetero__greedy_periodic,perception_heavy,hetero,shard,greedy_periodic,True,heuristic,,0,129.924741,228,28,165.32062500000004,2.0872299671173096,,,,,,,0,0.0,0.8201182636954416,0.45231548316113246,106.55365299999997,58.766972,1,1,gemmini_q31,V256D128_rvv,,
shard__networks_perception_heavy_hetero__decomposed,perception_heavy,hetero,shard,decomposed,True,heuristic,,0,122.88301000000004,228,28,160.0332520000001,1.8256444931030273,,,,,,,0,0.0,0.8150247865835967,0.48729725126362045,100.15269900000001,59.880553000000006,1,1,gemmini_q31,V256D128_rvv,,
shard__networks_perception_heavy_hetero__milp,perception_heavy,hetero,shard,milp,True,optimal_inaccurate,False,0,133.6100978755132,228,28,155.4318860000001,258.9034209251404,125.4,120.2,120.15,0.42202912326284364,133.6100978755,77.22274541004,0,0.0,0.8773678551543366,0.2859565377730493,117.22520499999999,38.206681,1,1,gemmini_q31,V256D128_rvv,,
shard__networks_perception_heavy_quad__greedy,perception_heavy,quad,shard,greedy,True,heuristic,,0,83.01467900000003,228,28,150.42991500000016,2.481578826904297,,,,,,,0,0.0,0.5752835893035253,0.3307604791196022,95.51396500000001,54.91594999999998,2,2,gemmini_q31,V256D128_rvv,,
shard__networks_perception_heavy_quad__greedy_periodic,perception_heavy,quad,shard,greedy_periodic,True,heuristic,,0,82.01294600000003,228,28,150.27325200000007,2.525115728378296,,,,,,,3,4.565823000000002,0.5631627718872579,0.35299290431537456,92.37327600000003,57.89997599999998,2,2,gemmini_q31,V256D128_rvv,,
shard__networks_perception_heavy_quad__decomposed,perception_heavy,quad,shard,decomposed,True,heuristic,,0,83.01467900000003,228,28,150.42991500000016,1.7887616157531738,,,,,,,0,0.0,0.5752835893035253,0.3307604791196022,95.51396500000001,54.91594999999998,2,2,gemmini_q31,V256D128_rvv,,
shard__networks_perception_heavy_quad__milp,perception_heavy,quad,shard,milp,False,,True,-9,,,,,1200.5611515045166,,,,,,,,,,,,,0,0,,,wall_clock_timeout,run failed (rc=-9) or no schedule json
shard__networks_perception_heavy_rvvpair__greedy,perception_heavy,rvvpair,shard,greedy,True,heuristic,,0,182.21574600000002,228,28,293.93892100000005,2.140881061553955,,,,,,,0,0.0,,0.8065683878933276,,293.93892100000016,0,2,gemmini_q31,V256D128_rvv,,
shard__networks_perception_heavy_rvvpair__greedy_periodic,perception_heavy,rvvpair,shard,greedy_periodic,True,heuristic,,0,178.87938600000007,228,28,293.93892100000005,2.14282488822937,,,,,,,0,0.0,,0.8216120581943409,,293.93892100000005,0,2,gemmini_q31,V256D128_rvv,,
shard__networks_perception_heavy_rvvpair__decomposed,perception_heavy,rvvpair,shard,decomposed,True,heuristic,,0,182.21574600000002,228,28,293.93892100000005,1.7876403331756592,,,,,,,0,0.0,,0.8065683878933276,,293.93892100000016,0,2,gemmini_q31,V256D128_rvv,,
shard__networks_perception_heavy_rvvpair__milp,perception_heavy,rvvpair,shard,milp,False,,False,1,,,,,903.8510494232178,,,120.2,,,145.918506,,,,,,,0,0,,,other,run failed (rc=1) or no schedule json
