arm,family,pair,num_operations,ops_consistent,greedy_makespan_ms,greedy_periodic_makespan_ms,decomposed_makespan_ms,milp_makespan_ms,greedy_improvement_pct,greedy_periodic_improvement_pct,decomposed_improvement_pct,milp_improvement_pct,greedy_wall_s,greedy_periodic_wall_s,decomposed_wall_s,milp_wall_s,greedy_status,greedy_periodic_status,decomposed_status,milp_status,greedy_period_misses,greedy_periodic_period_misses,decomposed_period_misses,milp_period_misses,greedy_comparable,greedy_periodic_comparable,decomposed_comparable,milp_comparable,greedy_ops,greedy_periodic_ops,decomposed_ops,milp_ops,best_solver,best_improvement_pct
base,bimodal,gempair,379,True,3627.6066590000005,3627.6066590000005,3627.6066590000005,,0.0,0.0,0.0,,4.291011333465576,4.352144479751587,3.6336331367492676,695.6072471141815,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,379,379,379,,greedy,0.0
base,control_mix,gempair,274,True,62.769885999999985,62.84480400000005,62.397633000000035,,0.0,-0.1193534109653597,0.5930439319261325,,3.856358289718628,4.360100746154785,2.2945556640625,1200.7946934700012,heuristic,heuristic,heuristic,FAILED,0,5,0,,True,True,True,,274,274,274,,decomposed,0.5930439319261325
base,control_mix,hetero,253,False,47.98636100000001,45.99820400000002,46.03685800000002,126.56552200000158,0.0,4.143171014780609,4.062618959583104,,2.6113524436950684,2.5693564414978027,2.4615490436553955,975.6664936542511,heuristic,heuristic,heuristic,optimal_inaccurate,0,7,0,0,True,True,True,False,253,253,253,295,greedy_periodic,4.143171014780609
base,control_mix,quad,232,True,39.159679,37.038920000000005,37.283029000000006,,0.0,5.4156700314116275,4.792301795936558,,3.9564552307128906,5.92618727684021,2.4340786933898926,701.0234441757202,heuristic,heuristic,heuristic,FAILED,0,8,0,,True,True,True,,232,232,232,,greedy_periodic,5.4156700314116275
base,control_mix,rvvpair,274,True,111.150797,104.59515800000001,109.603719,,0.0,5.8979685048951875,1.391873060523353,,2.6816039085388184,3.2836737632751465,2.7580463886260986,1200.7840144634247,heuristic,heuristic,heuristic,FAILED,0,9,0,,True,True,True,,274,274,274,,greedy_periodic,5.8979685048951875
base,depth_chain,gempair,270,True,592.4161089999999,592.4161089999999,592.4161089999999,592.4260800000006,0.0,0.0,0.0,-0.0016831075065763018,1.9378712177276611,2.280694007873535,2.4304418563842773,6.5233800411224365,heuristic,heuristic,heuristic,optimal,0,0,0,0,True,True,True,True,270,270,270,270,greedy,0.0
base,depth_chain,hetero,270,True,430.7280079999998,430.7280079999998,430.5871559999998,430.5847039999998,0.0,0.0,0.03270091505170831,0.033270183814004636,3.9974682331085205,2.490467071533203,3.046576738357544,3.5555827617645264,heuristic,heuristic,heuristic,optimal,0,0,0,0,True,True,True,True,270,270,270,270,milp,0.033270183814004636
base,depth_chain,quad,270,True,430.5847039999998,430.5847039999998,430.5847039999998,430.58470400000004,0.0,0.0,0.0,-5.280579484849331e-14,3.405661106109619,3.087679147720337,3.9011104106903076,6.485541582107544,heuristic,heuristic,heuristic,optimal,0,0,0,0,True,True,True,True,270,270,270,270,greedy,0.0
base,depth_chain,rvvpair,270,True,222.84635900000004,222.84635900000004,222.84635900000004,222.84635900000015,0.0,0.0,0.0,-5.101579322712471e-14,2.1801862716674805,3.774822235107422,2.633512020111084,4.8303422927856445,heuristic,heuristic,heuristic,optimal,0,0,0,0,True,True,True,True,270,270,270,270,greedy,0.0
base,depth_contended,gempair,290,True,248.225543,288.11728400000015,237.794109,,0.0,-16.070763918119486,4.2024015231986,,3.809641122817993,4.5083839893341064,2.1941654682159424,593.9832372665405,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,290,290,290,,decomposed,4.2024015231986
base,depth_contended,hetero,290,True,109.80817899999998,111.54977799999998,79.306301,,0.0,-1.5860375937934403,27.777419020854524,,2.4301602840423584,4.416713714599609,2.912647008895874,1200.5332942008972,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,290,290,290,,decomposed,27.777419020854524
base,depth_contended,quad,290,True,81.166472,104.10273399999997,70.612704,,0.0,-28.258296110246075,13.00262009663301,,5.033257484436035,4.179492950439453,2.411008358001709,421.1734218597412,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,290,290,290,,decomposed,13.00262009663301
base,depth_contended,rvvpair,290,True,119.01740399999997,174.53762399999997,111.69827199999997,,0.0,-46.648824570228406,6.149631695882056,,2.8365089893341064,2.82610821723938,2.086289882659912,587.1776568889618,heuristic,heuristic,heuristic,FAILED,0,2,0,,True,True,True,,290,290,290,,decomposed,6.149631695882056
base,depth_nav,gempair,382,True,592.4161089999999,592.4161089999999,592.4161089999999,,0.0,0.0,0.0,,2.742410898208618,2.797553062438965,2.753812074661255,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,382,382,382,,greedy,0.0
base,depth_nav,hetero,382,True,430.7280079999998,430.7280079999998,430.5871559999998,430.5847039999997,0.0,0.0,0.03270091505170831,0.03327018381403103,2.805593490600586,2.804288864135742,2.6030678749084473,709.3286790847778,heuristic,heuristic,heuristic,optimal,0,0,0,0,True,True,True,True,382,382,382,382,milp,0.03327018381403103
base,depth_nav,quad,382,True,430.5847039999998,430.5847039999998,430.5847039999998,,0.0,0.0,0.0,,4.433814287185669,4.442288160324097,3.379964590072632,539.4868972301483,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,382,382,382,,greedy,0.0
base,depth_nav,rvvpair,382,True,222.84635900000004,222.84635900000004,222.84635900000004,,0.0,0.0,0.0,,3.2557358741760254,3.2527668476104736,2.7968554496765137,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,382,382,382,,greedy,0.0
base,saturation,gempair,393,True,170.99422399999997,160.72823700000006,169.92730399999996,,0.0,6.003703961368842,0.6239509002362621,,3.7969768047332764,4.5727379322052,3.153542995452881,,heuristic,heuristic,heuristic,FAILED,2,13,0,,True,True,True,,393,393,393,,greedy_periodic,6.003703961368842
base,saturation,hetero,393,True,120.806969,111.90778900000001,136.65840199999997,,0.0,7.366445887736814,-13.121290212984297,,3.571065664291382,3.872905731201172,2.7925941944122314,,heuristic,heuristic,heuristic,FAILED,0,17,0,,True,True,True,,393,393,393,,greedy_periodic,7.366445887736814
base,saturation,quad,372,True,92.43968900000002,92.75808099999998,90.561864,,0.0,-0.344432141047078,2.03140557948006,,6.333898305892944,9.941136360168457,3.678945541381836,426.07279920578003,heuristic,heuristic,heuristic,FAILED,0,19,0,,True,True,True,,372,372,372,,decomposed,2.03140557948006
base,saturation,rvvpair,393,True,248.06685299999998,221.59879300000006,248.06685299999998,,0.0,10.669728615455094,0.0,,4.0226311683654785,5.241703510284424,3.148461103439331,,heuristic,heuristic,heuristic,FAILED,0,10,0,,True,True,True,,393,393,393,,greedy_periodic,10.669728615455094
base,scale_ladder,gempair,126,True,128.845742,128.845742,128.845742,130.56081299999735,0.0,0.0,0.0,-1.3311041353600583,1.5245647430419922,1.5376384258270264,1.41505765914917,524.0202624797821,heuristic,heuristic,heuristic,optimal_inaccurate,0,0,0,0,True,True,True,True,126,126,126,126,greedy,0.0
base,scale_ladder,hetero,126,True,111.349229,111.349229,111.349229,97.17012999999977,0.0,0.0,0.0,12.733899576440015,1.4944767951965332,1.507049322128296,1.4247503280639648,86.33601975440979,heuristic,heuristic,heuristic,optimal,0,0,0,0,True,True,True,True,126,126,126,126,milp,12.733899576440015
base,scale_ladder,quad,126,True,109.634598,109.634598,109.634598,,0.0,0.0,0.0,,1.6424744129180908,1.6538450717926025,1.4251012802124023,1200.5997879505157,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,126,126,126,,greedy,0.0
base,scale_ladder,rvvpair,126,True,132.65391600000004,132.65391600000004,132.65391600000004,118.20223200001685,0.0,0.0,0.0,10.89427620062357,1.5303149223327637,1.5357160568237305,1.4304070472717285,524.4017560482025,heuristic,heuristic,heuristic,optimal_inaccurate,0,0,0,0,True,True,True,True,126,126,126,126,milp,10.89427620062357
base,tight_loop,gempair,252,True,98.40299499999996,98.40299499999996,93.88345399999997,,0.0,0.0,4.592889677798924,,2.837008476257324,2.778623342514038,3.9729931354522705,495.5496509075165,heuristic,heuristic,heuristic,infeasible,4,4,28,,True,True,True,,252,252,252,,decomposed,4.592889677798924
base,tight_loop,hetero,252,True,102.03749799999999,102.03749799999999,106.924806,,0.0,0.0,-4.789717599700475,,2.420548677444458,2.4342563152313232,3.1112186908721924,126.34895324707031,heuristic,heuristic,heuristic,infeasible,4,4,28,,True,True,True,,252,252,252,,greedy,0.0
base,tight_loop,quad,252,True,84.337813,84.337813,64.26777999999999,,0.0,0.0,23.797194029681574,,3.7558786869049072,3.819066286087036,5.922063827514648,1146.907687664032,heuristic,heuristic,heuristic,infeasible,4,4,28,,True,True,True,,252,252,252,,decomposed,23.797194029681574
base,tight_loop,rvvpair,252,True,89.921403,89.921403,95.50718999999987,,0.0,0.0,-6.211854812807879,,2.7822883129119873,2.7832083702087402,3.8493075370788574,467.35225558280945,heuristic,heuristic,heuristic,infeasible,4,4,28,,True,True,True,,252,252,252,,greedy,0.0
base,vint_intro,gempair,661,True,4074.9441970000003,4074.6698070000007,4074.3677300000004,,0.0,0.006733589142192238,0.014146623171533604,,4.700625658035278,4.73391056060791,3.3242383003234863,,heuristic,heuristic,heuristic,FAILED,0,1,0,,True,True,True,,661,661,661,,decomposed,0.014146623171533604
base,vint_intro,hetero,661,True,4472.2742219999955,4472.374208999996,4472.2742219999955,,0.0,-0.002235708166298359,0.0,,4.1633522510528564,4.212334156036377,3.346066951751709,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,661,661,661,,greedy,0.0
base,vint_intro,quad,661,True,3844.6859930000014,3844.6859930000014,3844.6859930000014,,0.0,0.0,0.0,,5.942086219787598,5.879696369171143,3.3276302814483643,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,661,661,661,,greedy,0.0
base,vint_intro,rvvpair,661,True,12149.204616999992,12141.930165999991,12149.204616999992,,0.0,0.059875944387521716,0.0,,4.830602407455444,4.909045219421387,3.320300817489624,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,661,661,661,,greedy_periodic,0.059875944387521716
base,vint_multi,gempair,745,True,4107.657025000001,4107.657025000001,4107.657025000001,,0.0,0.0,0.0,,5.631302833557129,5.570969343185425,3.7242603302001953,,heuristic,heuristic,heuristic,FAILED,0,3,0,,True,True,True,,745,745,745,,greedy,0.0
base,vint_multi,hetero,745,True,4546.387975999996,4546.387975999996,4546.275169999996,,0.0,0.0,0.002481222469256582,,4.868716478347778,4.865946531295776,3.7421226501464844,,heuristic,heuristic,heuristic,FAILED,0,7,0,,True,True,True,,745,745,745,,decomposed,0.002481222469256582
base,vint_multi,quad,745,True,4012.8136910000026,4012.8136910000026,4012.7857770000032,,0.0,0.0,0.000695621629828805,,7.3155837059021,7.254406690597534,3.8772687911987305,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,745,745,745,,decomposed,0.000695621629828805
base,vint_multi,rvvpair,745,True,12337.001418999993,12337.001418999993,12337.001418999993,,0.0,0.0,0.0,,5.896799564361572,5.821153402328491,3.759735584259033,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,745,745,745,,greedy,0.0
shard,bimodal,gempair,442,True,263.199548,263.199548,263.199548,,0.0,0.0,0.0,,5.1036906242370605,5.125985383987427,3.6865594387054443,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,442,442,442,,greedy,0.0
shard,bimodal,hetero,442,True,252.61608800000002,252.61608800000002,252.61608800000002,,0.0,0.0,0.0,,4.194907188415527,4.306219577789307,3.292755603790283,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,442,442,442,,greedy,0.0
shard,bimodal,quad,442,True,161.2314650000001,161.2314650000001,161.2314650000001,,0.0,0.0,0.0,,7.721375465393066,7.579538822174072,4.8340983390808105,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,442,442,442,,greedy,0.0
shard,bimodal,rvvpair,442,True,280.910443,280.910443,280.910443,,0.0,0.0,0.0,,5.171141147613525,5.167224884033203,3.7739322185516357,,heuristic,heuristic,heuristic,FAILED,0,0,0,,True,True,True,,442,442,442,,greedy,0.0
shard,control_mix,gempair,407,False,48.00887599999997,46.03727699999998,54.259657999999995,,0.0,4.106738512270089,,,6.177928447723389,6.74731969833374,2.958102226257324,,heuristic,heuristic,heuristic,FAILED,0,5,0,,True,True,False,,407,407,442,,greedy_periodic,4.106738512270089
shard,control_mix,hetero,407,True,47.478809999999974,48.60681499999998,46.44745900000001,,0.0,-2.3758072285299683,2.1722343083155744,,5.169261455535889,5.565010070800781,2.746710777282715,,heuristic,heuristic,heuristic,FAILED,0,5,0,,True,True,True,,407,407,407,,decomposed,2.1722343083155744
shard,control_mix,quad,372,True,29.70857299999999,28.565012999999986,28.288863999999993,,0.0,3.849259269369837,4.778785571424106,,10.370962381362915,11.667631387710571,3.168067216873169,537.1745018959045,heuristic,heuristic,heuristic,FAILED,0,5,0,,True,True,True,,372,372,372,,decomposed,4.778785571424106
