arm,family,pair,ops,greedy_ms,milp120_ms,milp120_gap,milp120_wall_s,milp120_status,milp600_ms,milp600_gap,milp600_wall_s,milp600_build_s,milp600_solve_s,milp600_status,milp120_vs_greedy_pct,milp600_vs_greedy_pct
base,scale_ladder,gempair,126,128.845742,130.56081299999735,0.244880743810932,524.0202624797821,optimal_inaccurate,,,785.5124697685242,,,out_of_memory_mosek_solve,-1.3311041353600583,
base,scale_ladder,hetero,126,111.349229,97.17012999999977,6.964074247915913e-05,86.33601975440979,optimal,97.17012999999977,6.964074247915913e-05,95.88425827026367,75.59,1.736,optimal,12.733899576440015,12.733899576440015
base,scale_ladder,quad,126,109.634598,,,1200.5997879505157,wall_clock_timeout,,,1435.0840084552765,,,out_of_memory_mosek_solve,,
base,scale_ladder,rvvpair,126,132.65391600000004,118.20223200001685,0.17623953158515646,524.4017560482025,optimal_inaccurate,,,615.1426649093628,,,out_of_memory_mosek_solve,10.89427620062357,
shard,scale_ladder,hetero,211,68.528527,118.16260436698428,0.5976335289405817,531.8345265388489,optimal_inaccurate,103.5390930000654,0.5402551384440462,1038.5000126361847,406.5,600.4,optimal_inaccurate,-72.42834413613514,-51.08903916768182
