entry_id,network,instance,dispatch_id,op,name,kind,hart,actual_start_ms,actual_end_ms,actual_duration_ms
0,yolov8_nano,0,0,,,gemmini_q31,0,199.597000,210.774000,11.177000
1,yolov8_nano,0,1,,,gemmini_q31,0,210.774000,238.937000,28.163000
2,yolov8_nano,0,2,,,gemmini_q31,0,238.938000,243.338000,4.400000
3,yolov8_nano,0,3,,,gemmini_q31,0,243.338000,256.912000,13.574000
4,yolov8_nano,0,4,,,gemmini_q31,0,256.913000,259.938000,3.025000
5,yolov8_nano,0,5,,,gemmini_q31,0,259.938000,273.651000,13.713000
6,yolov8_nano,0,6,,,gemmini_q31,0,273.651000,276.463000,2.812000
7,yolov8_nano,0,7,,,gemmini_q31,0,276.463000,283.474000,7.011000
8,yolov8_nano,0,8,,,gemmini_q31,0,283.474000,286.269000,2.795000
9,yolov8_nano,0,9,,,gemmini_q31,0,286.269000,293.315000,7.046000
10,yolov8_nano,0,10,,,gemmini_q31,0,293.315000,294.140000,0.825000
11,yolov8_nano,0,11,,,gemmini_q31,0,294.141000,294.978000,0.837000
12,yolov8_nano,0,12,,,gemmini_q31,0,294.978000,298.211000,3.233000
13,yolov8_nano,0,13,,,gemmini_q31,0,298.211000,312.240000,14.029000
14,yolov8_nano,0,14,,,gemmini_q31,0,312.240000,314.115000,1.875000
15,yolov8_nano,0,15,,,gemmini_q31,0,314.115000,321.116000,7.001000
16,yolov8_nano,0,16,,,gemmini_q31,0,321.116000,322.451000,1.335000
17,yolov8_nano,0,17,,,gemmini_q31,0,322.451000,329.371000,6.920000
18,yolov8_nano,0,18,,,gemmini_q31,0,329.372000,330.429000,1.057000
19,yolov8_nano,0,19,,,gemmini_q31,0,330.429000,333.766000,3.337000
20,yolov8_nano,0,20,,,gemmini_q31,0,333.766000,334.820000,1.054000
21,yolov8_nano,0,21,,,gemmini_q31,0,334.820000,338.235000,3.415000
22,yolov8_nano,0,22,,,gemmini_q31,0,338.235000,338.654000,0.419000
23,yolov8_nano,0,23,,,gemmini_q31,0,338.654000,339.726000,1.072000
24,yolov8_nano,0,24,,,gemmini_q31,0,339.726000,343.089000,3.363000
25,yolov8_nano,0,25,,,gemmini_q31,0,343.090000,344.137000,1.047000
26,yolov8_nano,0,26,,,gemmini_q31,0,344.137000,347.651000,3.514000
27,yolov8_nano,0,27,,,gemmini_q31,0,347.652000,348.067000,0.415000
28,yolov8_nano,0,28,,,gemmini_q31,0,348.068000,348.641000,0.573000
29,yolov8_nano,0,29,,,gemmini_q31,0,348.641000,350.225000,1.584000
30,yolov8_nano,0,30,,,gemmini_q31,0,350.225000,357.029000,6.804000
31,yolov8_nano,0,31,,,gemmini_q31,0,357.029000,357.966000,0.937000
32,yolov8_nano,0,32,,,gemmini_q31,0,357.966000,361.399000,3.433000
33,yolov8_nano,0,33,,,gemmini_q31,0,361.400000,362.071000,0.671000
34,yolov8_nano,0,34,,,gemmini_q31,0,362.072000,365.492000,3.420000
