model,op,instances,cycles,pct_of_model
mlp_generic,linear_s8,3,9881,100.00
dronet,conv2d_s8,10,7235704,95.86
dronet,maxpool2d_s8,1,217609,2.88
dronet,batchnorm2d_s8,6,67513,0.89
dronet,add_s8,3,21143,0.28
dronet,linear_s8,2,4857,0.06
dronet,sigmoid_s8,1,856,0.01
dronet,relu_s8,1,464,0.01
fused_full,conv2d_s8,6,2841008,55.81
fused_full,lstm_f16,3,1302615,25.59
fused_full,linear_f16,3,944065,18.54
fused_full,cast_i8_to_f16,3,2576,0.05
fused_full,cat3_c1_f16,1,458,0.01
yolov8_nano,conv2d_s8,63,155306954,89.85
yolov8_nano,cat4_c1_s8,3,6717803,3.89
yolov8_nano,silu_s8,57,4796189,2.77
yolov8_nano,maxpool2d_s8,3,3621600,2.10
yolov8_nano,batchnorm2d_s8,57,1207083,0.70
yolov8_nano,upsample_nearest_s8,2,437594,0.25
yolov8_nano,cat2_c1_s8,7,350330,0.20
yolov8_nano,cat3_c1_s8,6,293662,0.17
yolov8_nano,add_s8,6,124426,0.07
