model,op,instances,cycles,pct_of_model
mlp_generic,linear_s8,3,29271,100.00
dronet,conv2d_s8,10,518881709,98.12
dronet,maxpool2d_s8,1,5284980,1.00
dronet,batchnorm2d_s8,6,3638895,0.69
dronet,add_s8,3,934632,0.18
dronet,linear_s8,2,60299,0.01
dronet,relu_s8,1,22615,0.00
dronet,sigmoid_s8,1,1025,0.00
yolov8_nano,conv2d_s8,63,13070159591,97.38
yolov8_nano,silu_s8,57,234425560,1.75
yolov8_nano,batchnorm2d_s8,57,71920118,0.54
yolov8_nano,cat2_c1_s8,7,16281370,0.12
yolov8_nano,cat3_c1_s8,6,11807768,0.09
yolov8_nano,cat4_c1_s8,3,6714525,0.05
yolov8_nano,add_s8,6,5330048,0.04
yolov8_nano,maxpool2d_s8,3,3823840,0.03
yolov8_nano,upsample_nearest_s8,2,1963304,0.01
