model,op,instances,cycles,pct_of_model
mlp_generic,linear_s8,3,8730,100.00
dronet,conv2d_s8,10,9757075,68.97
dronet,batchnorm2d_s8,3,2644083,18.69
dronet,maxpool2d_s8,1,1286523,9.09
dronet,add_s8,3,414455,2.93
dronet,relu_s8,1,24710,0.17
dronet,linear_s8,2,19828,0.14
dronet,sigmoid_s8,1,655,0.00
fused_full,lstm_f16,3,203186573,68.81
fused_full,linear_f16,3,87360860,29.59
fused_full,conv2d_s8,6,4560876,1.54
fused_full,cast_i8_to_f16,3,165939,0.06
fused_full,cat3_c1_f16,1,2745,0.00
yolov8_nano,silu_s8,57,232231667,73.60
yolov8_nano,conv2d_s8,63,70127460,22.23
yolov8_nano,maxpool2d_s8,3,3603697,1.14
yolov8_nano,add_s8,6,2390598,0.76
yolov8_nano,cat2_c1_s8,7,2337120,0.74
yolov8_nano,upsample_nearest_s8,2,1958131,0.62
yolov8_nano,cat3_c1_s8,6,1885828,0.60
yolov8_nano,cat4_c1_s8,3,987074,0.31
